"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3955325";"";"";"Small molecule";"";"493.54";"4";"5";"0.45";"151.14";"8";"2";"0";"8";"N";"0.54";"2.93";"0.49";"0.39";"-3.09";"2";"MOL";"-1";"34";"12";"2";"1";"493.1631";"-1.43";"ACID";"C21H27N5O7S";"CN(C)C(=O)Oc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cnn(C)c2)C(=O)O)cc1";"QYYRJAZVBRBKSA-ROUUACIJSA-N"
"CHEMBL4794300";"";"";"Unknown";"";"391.30";"13";"29";"0.55";"112.73";"4";"3";"0";"4";"N";"0.55";"3.83";"4.44";"-0.93";"-3.40";"1";"MOL";"-1";"20";"7";"4";"0";"277.1063";"-0.44";"ACID";"C15H16F3N3O6";"Nc1ccc(CNC(=O)N2C(=O)CC2CC(=O)O)cc1.O=C(O)C(F)(F)F";"KQQPMJPLUTYQMW-UHFFFAOYSA-N"
"CHEMBL4797755";"";"";"Unknown";"";"462.38";"12";"29";"0.26";"141.83";"5";"4";"0";"7";"N";"0.52";"3.58";"9.25";"-3.20";"-3.21";"1";"MOL";"-1";"25";"9";"5";"0";"348.1434";"-0.75";"ZWITTERION";"C18H21F3N4O7";"NCc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCCC(=O)O)cc1.O=C(O)C(F)(F)F";"WNJSILFLYVIFJS-UHFFFAOYSA-N"
"CHEMBL3941275";"";"";"Small molecule";"";"544.63";"4";"5";"1.36";"145.35";"7";"3";"1";"8";"N";"0.45";"2.77";"7.81";"-0.53";"-0.66";"2";"MOL";"-1";"38";"11";"3";"2";"544.1992";"-1.08";"ACID";"C26H32N4O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N3CCNCC3)cc2)C(=O)O)cc1";"VQJTYCXNNCTTSF-GOTSBHOMSA-N"
"CHEMBL3893793";"";"";"Small molecule";"";"477.54";"4";"5";"1.49";"133.32";"6";"2";"0";"9";"N";"0.56";"3.02";"None";"1.86";"-1.61";"2";"MOL";"-1";"33";"10";"2";"0";"477.1570";"-1.12";"ACID";"C22H27N3O7S";"Cc1ccc(S(=O)(=O)N(C)CC(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"NWGFNDPGYNMWPX-IBGZPJMESA-N"
"CHEMBL4461771";"";"";"Unknown";"";"129.11";"12";"23";"-0.65";"66.40";"2";"2";"0";"2";"N";"0.49";"4.07";"None";"-1.09";"-4.21";"0";"MOL";"-1";"9";"4";"2";"0";"129.0426";"1.32";"ACID";"C5H7NO3";"O=C(O)CC1CC(=O)N1";"PFYZSIGLKDYGAG-UHFFFAOYSA-N"
"CHEMBL3917688";"";"";"Small molecule";"";"558.66";"4";"5";"1.71";"136.56";"7";"2";"1";"8";"N";"0.50";"2.77";"6.85";"-0.40";"-0.86";"2";"MOL";"-1";"39";"11";"2";"2";"558.2148";"-1.15";"ACID";"C27H34N4O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N3CCN(C)CC3)cc2)C(=O)O)cc1";"LTENJGUZJGMMFE-ZEQRLZLVSA-N"
"CHEMBL88478";"";"BIO-1211";"Small molecule";"";"708.81";"17";"40";"2.89";"223.34";"7";"7";"2";"16";"N";"0.14";"3.74";"None";"2.90";"-3.32";"2";"MOL";"-1";"51";"15";"7";"3";"708.3483";"-0.64";"ACID";"C36H48N6O9";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)O)C(C)C)cc1";"NVVGCQABIHSJSQ-KFZSMJGVSA-N"
"CHEMBL1233907";"";"";"Small molecule";"";"478.57";"1";"1";"4.88";"88.81";"7";"0";"0";"7";"N";"0.35";"None";"6.19";"4.51";"4.48";"3";"MOL";"-1";"34";"8";"0";"0";"478.1675";"-1.61";"NEUTRAL";"C25H26N4O4S";"CCOc1ccccc1Sc1ccc(-c2ccnc(N3CCN(C(C)=O)CC3)c2)cc1[N+](=O)[O-]";"GKGJFUXSTSUKPB-UHFFFAOYSA-N"
"CHEMBL4755971";"";"";"Unknown";"";"262.26";"12";"18";"0.97";"86.71";"3";"2";"0";"4";"N";"0.79";"4.04";"None";"0.51";"-2.63";"1";"MOL";"-1";"19";"6";"2";"0";"262.0954";"-0.53";"ACID";"C13H14N2O4";"O=C(O)CC1CC(=O)N1C(=O)NCc1ccccc1";"XTNLRPMBRFOVIZ-UHFFFAOYSA-N"
"CHEMBL4764510";"";"";"Unknown";"";"333.34";"12";"26";"1.11";"115.81";"4";"3";"0";"6";"N";"0.67";"3.88";"None";"0.45";"-2.78";"1";"MOL";"-1";"24";"8";"3";"0";"333.1325";"-1.08";"ACID";"C16H19N3O5";"Cc1ccccc1NC(=O)N1C(=O)CC1CC(=O)NCCC(=O)O";"LOXDBHIFADBELN-UHFFFAOYSA-N"
"CHEMBL4777693";"";"";"Unknown";"";"377.28";"12";"25";"0.16";"112.73";"4";"3";"0";"3";"N";"0.53";"3.54";"4.28";"-1.26";"-3.71";"1";"MOL";"-1";"19";"7";"4";"0";"263.0906";"-0.50";"ACID";"C14H14F3N3O6";"Nc1ccc(CNC(=O)N2C(=O)C[C@H]2C(=O)O)cc1.O=C(O)C(F)(F)F";"PBDSUCKUKNOMFW-FVGYRXGTSA-N"
"CHEMBL3952722";"";"";"Small molecule";"";"503.58";"4";"5";"2.02";"133.32";"6";"2";"1";"8";"N";"0.56";"3.07";"None";"2.48";"-0.99";"2";"MOL";"-1";"35";"10";"2";"1";"503.1726";"-1.11";"ACID";"C24H29N3O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"XXMHZBBVAXTTOO-SFTDATJTSA-N"
"CHEMBL4743438";"";"";"Unknown";"";"319.32";"12";"19";"0.72";"115.81";"4";"3";"0";"5";"N";"0.69";"3.81";"None";"0.36";"-2.89";"1";"MOL";"-1";"23";"8";"3";"0";"319.1168";"-1.13";"ACID";"C15H17N3O5";"Cc1ccccc1NC(=O)N1C(=O)C[C@H]1C(=O)NCCC(=O)O";"IVVOOUBTAXUXMJ-NSHDSACASA-N"
