"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1812740";"";"";"Small molecule";"";"313.44";"9";"17";"3.66";"29.54";"3";"0";"0";"3";"N";"0.80";"None";"9.15";"3.93";"2.18";"1";"MOL";"-1";"23";"3";"0";"0";"313.2042";"0.54";"BASE";"C20H27NO2";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2C(=O)OC2CCC2)N3C)cc1";"LBLVIDUIWXYVNG-AITUJVMLSA-N"
"CHEMBL1812743";"";"";"Small molecule";"";"408.93";"10";"20";"5.74";"38.50";"4";"0";"1";"4";"N";"0.55";"None";"9.57";"5.14";"2.98";"3";"MOL";"-1";"29";"4";"0";"1";"408.1605";"-0.46";"BASE";"C24H25ClN2O2";"COc1ccc(-c2cc([C@H]3[C@@H](c4ccc(Cl)cc4)C[C@@H]4CC[C@H]3N4C)on2)cc1";"MZBDCJWEXVZTQQ-AYEZKCMBSA-N"
"CHEMBL1812739";"";"";"Small molecule";"";"301.43";"9";"19";"3.51";"29.54";"3";"0";"0";"3";"N";"0.80";"None";"9.15";"3.80";"2.05";"1";"MOL";"-1";"22";"3";"0";"0";"301.2042";"0.26";"BASE";"C19H27NO2";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2C(=O)OC(C)C)N3C)cc1";"YKXMGNSTADTLNN-MLHJIOFPSA-N"
"CHEMBL1812746";"";"";"Small molecule";"";"293.79";"9";"18";"3.05";"38.33";"3";"1";"0";"2";"N";"0.85";"None";"9.96";"3.25";"0.77";"1";"MOL";"-1";"20";"3";"1";"0";"293.1183";"0.55";"BASE";"C16H20ClNO2";"COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(C)c2)C[C@@H]2CC[C@H]1N2";"YBVYVIFNGYOFSX-MXYBEHONSA-N"
"CHEMBL1812747";"";"";"Small molecule";"";"330.86";"9";"19";"4.68";"29.27";"3";"0";"0";"2";"N";"0.80";"None";"9.25";"3.90";"2.06";"2";"MOL";"-1";"23";"3";"0";"0";"330.1499";"-0.66";"BASE";"C19H23ClN2O";"Cc1cc([C@H]2[C@@H](c3ccc(Cl)c(C)c3)C[C@@H]3CC[C@H]2N3C)on1";"ZSEXNBSYJGXEIW-MGTHKWJCSA-N"
"CHEMBL1812742";"";"";"Small molecule";"";"392.93";"9";"17";"6.04";"29.27";"3";"0";"1";"3";"N";"0.54";"None";"9.70";"5.81";"3.53";"3";"MOL";"-1";"28";"3";"0";"1";"392.1655";"-0.56";"BASE";"C24H25ClN2O";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2cc(-c4ccc(Cl)cc4)no2)N3C)cc1";"MUVQRHMVRFZUGP-IKJKNFHUSA-N"
"CHEMBL1812741";"";"";"Small molecule";"";"310.44";"10";"18";"4.28";"29.27";"3";"0";"0";"3";"N";"0.85";"None";"9.35";"4.00";"2.06";"2";"MOL";"-1";"23";"3";"0";"0";"310.2045";"-0.40";"BASE";"C20H26N2O";"CCc1cc([C@H]2[C@@H](c3ccc(C)cc3)C[C@@H]3CC[C@H]2N3C)on1";"JZWBQZKHNDUSFQ-XFKSJGNHSA-N"
"CHEMBL1812745";"";"";"Small molecule";"";"307.82";"9";"20";"3.39";"29.54";"3";"0";"0";"2";"N";"0.78";"None";"9.20";"3.63";"1.83";"1";"MOL";"-1";"21";"3";"0";"0";"307.1339";"0.15";"BASE";"C17H22ClNO2";"COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(C)c2)C[C@@H]2CC[C@H]1N2C";"VMITZEMDDZVHBZ-XNISGKROSA-N"
"CHEMBL1812750";"";"";"Small molecule";"";"277.34";"9";"18";"2.53";"38.33";"3";"1";"0";"2";"Y";"0.84";"None";"9.96";"2.78";"0.31";"1";"MOL";"-1";"20";"3";"1";"0";"277.1478";"0.37";"BASE";"C16H20FNO2";"COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1c1ccc(C)c(F)c1)N2";"QDZIBQWKRRRXAL-VIRABCJISA-N"
"CHEMBL1812744";"";"";"Small molecule";"";"379.94";"10";"21";"5.57";"31.92";"2";"1";"1";"2";"N";"0.63";"12.74";"9.57";"5.60";"3.44";"3";"MOL";"-1";"27";"3";"1";"1";"379.1815";"-0.52";"BASE";"C23H26ClN3";"Cc1cc2nc([C@H]3[C@@H](c4ccc(Cl)cc4)C[C@@H]4CC[C@H]3N4C)[nH]c2cc1C";"ZONWPEAFLDQJPL-KKXYHZGYSA-N"
