"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL9614";"";"";"Small molecule";"";"519.39";"2";"3";"3.61";"144.47";"7";"4";"1";"9";"N";"0.34";"3.57";"11.71";"4.44";"0.12";"3";"MOL";"-1";"35";"9";"4";"1";"518.1124";"-0.48";"ZWITTERION";"C24H24Cl2N4O5";"CCCC(C)/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O";"FETXIQQMXPIQAE-ZAFZPGNLSA-N"
"CHEMBL317151";"";"";"Small molecule";"";"409.87";"2";"2";"4.44";"75.63";"3";"2";"0";"7";"N";"0.60";"3.64";"None";"4.84";"1.52";"3";"MOL";"-1";"29";"5";"2";"0";"409.1081";"-0.62";"ACID";"C23H20ClNO4";"COc1ccccc1-c1ccc(C[C@H](NC(=O)c2ccccc2Cl)C(=O)O)cc1";"PYLQHQVUGWACLR-FQEVSTJZSA-N"
"CHEMBL507508";"";"";"Small molecule";"";"567.72";"1";"1";"5.95";"110.00";"8";"2";"2";"9";"N";"0.26";"4.52";"3.87";"5.03";"2.54";"4";"MOL";"-1";"41";"8";"2";"2";"567.2304";"-0.78";"ACID";"C32H33N5O3S";"CC(C)SC1=C(N[C@@H](Cc2ccc(-n3c(-c4cccnc4)nc4cccnc43)cc2)C(=O)O)C2(CCCCC2)C1=O";"UOQRUCISSASGLE-VWLOTQADSA-N"
"CHEMBL425647";"";"";"Small molecule";"";"539.99";"10";"40";"5.55";"107.97";"4";"3";"2";"8";"N";"0.35";"4.36";"None";"5.02";"2.11";"3";"MOL";"-1";"38";"8";"3";"2";"539.1623";"-1.15";"ACID";"C28H27ClFN3O5";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl";"WIBDJDYXWICGSX-SFTDATJTSA-N"
"CHEMBL100767";"";"";"Small molecule";"";"436.94";"2";"2";"4.49";"69.64";"3";"2";"0";"8";"N";"0.55";"3.44";"9.34";"2.21";"2.21";"3";"MOL";"-1";"31";"5";"2";"0";"436.1554";"-0.79";"ZWITTERION";"C25H25ClN2O3";"CN(C)Cc1ccccc1-c1ccc(C[C@H](NC(=O)c2ccccc2Cl)C(=O)O)cc1";"LGGGFIHRYYMBGJ-QHCPKHFHSA-N"
"CHEMBL81990";"";"";"Small molecule";"";"505.79";"4";"9";"5.63";"95.50";"3";"3";"2";"7";"N";"0.39";"3.49";"None";"6.17";"2.79";"3";"MOL";"-1";"33";"6";"3";"2";"504.0410";"-0.78";"ACID";"C24H19Cl3N2O4";"Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O";"JTVWJXUGGJTGDA-IBGZPJMESA-N"
"CHEMBL1684978";"";"";"Small molecule";"";"560.05";"1";"1";"6.04";"107.89";"7";"2";"2";"9";"N";"0.26";"2.59";"5.78";"5.09";"3.62";"4";"MOL";"-1";"40";"9";"2";"2";"559.1986";"-0.79";"ACID";"C30H30ClN5O4";"Cc1ccccc1-c1cnc(N(C)c2ccc(Cl)cc2)nc1N[C@@H](Cc1ccc(OC(=O)N(C)C)cc1)C(=O)O";"FRVNKFKLLJOWQY-SANMLTNESA-N"
"CHEMBL568042";"";"";"Small molecule";"";"592.06";"2";"3";"5.48";"108.83";"6";"2";"2";"8";"N";"0.36";"4.30";"None";"4.73";"1.76";"3";"MOL";"-1";"40";"8";"2";"2";"591.1406";"-1.16";"ACID";"C28H28ClF2N3O5S";"O=C(Nc1cc(F)c(CC(=O)N2C[C@@H](F)C[C@H]2CO[C@H]2CC[C@H](C(=O)O)CC2)cc1Cl)c1nsc2ccccc12";"ITHNGRATRHTRJN-WNHJNPCNSA-N"
"CHEMBL4798264";"";"";"Unknown";"";"552.65";"2";"3";"3.73";"122.24";"6";"2";"1";"11";"N";"0.37";"3.23";"None";"4.01";"0.57";"3";"MOL";"-1";"39";"9";"2";"1";"552.1930";"-0.38";"ACID";"C29H32N2O7S";"CC[C@@]1(C(=O)N[C@@H](Cc2ccc(-c3c(OC)cccc3OC)cc2)C(=O)O)CCN1S(=O)(=O)c1ccccc1";"PRQQKDSSBGZCOL-IADCTJSHSA-N"
"CHEMBL270621";"";"";"Small molecule";"";"426.43";"2";"2";"1.49";"136.55";"8";"2";"0";"7";"N";"0.58";"3.67";"0.83";"0.68";"-2.64";"3";"MOL";"-1";"31";"10";"2";"0";"426.1539";"-0.98";"ACID";"C21H22N4O6";"COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(C)noc2C)C(=O)O)cc1";"KNSNCKFGKKFIGH-HNNXBMFYSA-N"
"CHEMBL180295";"";"";"Small molecule";"";"597.58";"1";"1";"8.25";"86.71";"3";"2";"2";"10";"N";"0.25";"4.33";"None";"9.14";"6.19";"3";"MOL";"-1";"41";"6";"2";"2";"596.2209";"-0.92";"ACID";"C33H38Cl2N2O4";"CCc1ccc(C(Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O)cc1N(CC(C)C)C(=O)C(C)(C)C";"GLAVTOUIMCZWGE-UHFFFAOYSA-N"
"CHEMBL244968";"";"";"Small molecule";"";"491.44";"1";"1";"4.08";"103.78";"4";"2";"0";"7";"N";"0.60";"3.56";"None";"4.11";"0.75";"1";"MOL";"-1";"31";"7";"2";"0";"490.1096";"-1.19";"ACID";"C21H28Cl2N2O5S";"O=C(CN(C1CCCCC1)S(=O)(=O)c1cc(Cl)cc(Cl)c1)NC1CCCCC1C(=O)O";"GYFOQURMMUWBKS-UHFFFAOYSA-N"
"CHEMBL91485";"";"TR-14035";"Small molecule";"";"474.34";"7";"19";"5.10";"84.86";"4";"2";"1";"8";"N";"0.47";"3.43";"None";"5.29";"1.90";"3";"MOL";"-1";"32";"6";"2";"1";"473.0797";"-0.33";"ACID";"C24H21Cl2NO5";"COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1";"DRSJLVGDSNWQBI-SFHVURJKSA-N"
"CHEMBL506044";"";"MK-0668";"Small molecule";"";"685.59";"8";"22";"3.60";"181.59";"8";"4";"1";"11";"N";"0.23";"2.89";"8.97";"0.80";"0.79";"3";"MOL";"-1";"46";"12";"4";"2";"684.1325";"-1.31";"ZWITTERION";"C31H30Cl2N6O6S";"N#Cc1cccc(S(=O)(=O)N2C[C@H](NC3CCC3)C[C@H]2C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c1";"USYYNLPEWBGIMJ-ICTDUYRTSA-N"
