"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL317151";"";"";"Small molecule";"";"409.87";"2";"2";"4.44";"75.63";"3";"2";"0";"7";"N";"0.60";"3.64";"None";"4.84";"1.52";"3";"MOL";"-1";"29";"5";"2";"0";"409.1081";"-0.62";"ACID";"C23H20ClNO4";"COc1ccccc1-c1ccc(C[C@H](NC(=O)c2ccccc2Cl)C(=O)O)cc1";"PYLQHQVUGWACLR-FQEVSTJZSA-N"
"CHEMBL425647";"";"";"Small molecule";"";"539.99";"10";"40";"5.55";"107.97";"4";"3";"2";"8";"N";"0.35";"4.36";"None";"5.02";"2.11";"3";"MOL";"-1";"38";"8";"3";"2";"539.1623";"-1.15";"ACID";"C28H27ClFN3O5";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl";"WIBDJDYXWICGSX-SFTDATJTSA-N"
"CHEMBL100767";"";"";"Small molecule";"";"436.94";"2";"2";"4.49";"69.64";"3";"2";"0";"8";"N";"0.55";"3.44";"9.34";"2.21";"2.21";"3";"MOL";"-1";"31";"5";"2";"0";"436.1554";"-0.79";"ZWITTERION";"C25H25ClN2O3";"CN(C)Cc1ccccc1-c1ccc(C[C@H](NC(=O)c2ccccc2Cl)C(=O)O)cc1";"LGGGFIHRYYMBGJ-QHCPKHFHSA-N"
"CHEMBL81990";"";"";"Small molecule";"";"505.79";"4";"9";"5.63";"95.50";"3";"3";"2";"7";"N";"0.39";"3.49";"None";"6.17";"2.79";"3";"MOL";"-1";"33";"6";"3";"2";"504.0410";"-0.78";"ACID";"C24H19Cl3N2O4";"Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O";"JTVWJXUGGJTGDA-IBGZPJMESA-N"
"CHEMBL270621";"";"";"Small molecule";"";"426.43";"2";"2";"1.49";"136.55";"8";"2";"0";"7";"N";"0.58";"3.67";"0.83";"0.68";"-2.64";"3";"MOL";"-1";"31";"10";"2";"0";"426.1539";"-0.98";"ACID";"C21H22N4O6";"COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(C)noc2C)C(=O)O)cc1";"KNSNCKFGKKFIGH-HNNXBMFYSA-N"
"CHEMBL91485";"";"TR-14035";"Small molecule";"";"474.34";"7";"19";"5.10";"84.86";"4";"2";"1";"8";"N";"0.47";"3.43";"None";"5.29";"1.90";"3";"MOL";"-1";"32";"6";"2";"1";"473.0797";"-0.33";"ACID";"C24H21Cl2NO5";"COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1";"DRSJLVGDSNWQBI-SFHVURJKSA-N"
"CHEMBL402364";"";"";"Small molecule";"";"381.39";"4";"8";"3.99";"82.27";"3";"2";"0";"2";"N";"0.41";"6.56";"None";"3.75";"2.89";"4";"MOL";"-1";"29";"6";"2";"0";"381.1113";"-0.87";"NEUTRAL";"C23H15N3O3";"O=C1NC(=O)N(c2cccc3ccccc23)C(=O)/C1=C\c1c[nH]c2ccccc12";"WXLHNZZHYWXAIN-PDGQHHTCSA-N"
"CHEMBL77924";"";"";"Small molecule";"";"643.33";"3";"5";"5.68";"129.81";"6";"2";"2";"8";"N";"0.25";"3.62";"None";"5.51";"2.18";"4";"MOL";"-1";"40";"9";"2";"2";"640.9749";"-1.13";"ACID";"C26H19Cl4N3O6S";"O=C(O)[C@H](Cc1ccc2oc(-c3c(Cl)cccc3Cl)nc2c1)NC(=O)[C@@H]1CCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1";"NVSCTWCNVXBLQP-SFTDATJTSA-N"
"CHEMBL353594";"";"";"Small molecule";"";"578.73";"2";"2";"4.58";"113.01";"6";"2";"1";"12";"N";"0.32";"3.12";"7.17";"2.22";"1.89";"3";"MOL";"-1";"41";"8";"2";"1";"578.2451";"-0.57";"ACID";"C32H38N2O6S";"CCCCN1CCC(C(=O)N[C@@H](Cc2ccc(-c3ccccc3OC)cc2)C(=O)O)(S(=O)(=O)c2ccccc2)CC1";"MOTXXRASOGAEQI-NDEPHWFRSA-N"
"CHEMBL2333172";"";"";"Small molecule";"";"471.55";"2";"4";"1.77";"119.63";"7";"2";"0";"9";"N";"0.58";"3.73";"None";"2.26";"-1.03";"2";"MOL";"-1";"34";"9";"2";"0";"471.2369";"-0.10";"ACID";"C25H33N3O6";"COCCC1(C(=O)N[C@@H](Cc2ccc(-c3c(C)n(C)c(=O)n(C)c3=O)cc2)C(=O)O)CCCC1";"PQEXVAMKRQHKJU-IBGZPJMESA-N"
"CHEMBL100164";"";"";"Small molecule";"";"402.83";"2";"2";"3.04";"104.73";"4";"3";"0";"8";"N";"0.59";"3.31";"None";"3.58";"0.16";"2";"MOL";"-1";"28";"7";"3";"0";"402.0982";"-0.82";"ACID";"C20H19ClN2O5";"C=CCNC(=O)Oc1ccc(C[C@H](NC(=O)c2ccccc2Cl)C(=O)O)cc1";"GDOCTXXUSWKFKD-KRWDZBQOSA-N"
"CHEMBL99360";"";"";"Small molecule";"";"529.04";"2";"2";"5.47";"98.66";"4";"4";"2";"11";"N";"0.19";"3.51";"9.42";"3.80";"3.79";"4";"MOL";"-1";"38";"6";"4";"2";"528.1816";"-0.52";"ZWITTERION";"C31H29ClN2O4";"O=C(N[C@@H](Cc1ccc(-c2ccc(CNCCc3ccc(O)cc3)cc2)cc1)C(=O)O)c1ccccc1Cl";"PMEZAVDXMBUKOU-LJAQVGFWSA-N"
"CHEMBL76119";"";"";"Small molecule";"";"593.49";"6";"15";"4.25";"122.24";"6";"2";"1";"10";"N";"0.36";"2.99";"None";"4.26";"0.79";"3";"MOL";"-1";"39";"9";"2";"1";"592.0838";"-0.72";"ACID";"C27H26Cl2N2O7S";"COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@H]2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1";"PALKXFSSVDMBNG-VXKWHMMOSA-N"
"CHEMBL2333168";"";"";"Small molecule";"";"490.34";"5";"7";"2.79";"110.40";"6";"2";"0";"6";"N";"0.55";"3.41";"None";"3.45";"0.05";"3";"MOL";"-1";"33";"8";"2";"0";"489.0858";"-0.60";"ACID";"C23H21Cl2N3O5";"Cc1c(-c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)c(=O)n(C)c(=O)n1C";"MEWSBKJAUCDJSK-KRWDZBQOSA-N"
"CHEMBL369635";"";"";"Small molecule";"";"611.70";"6";"8";"2.90";"203.03";"6";"7";"2";"15";"N";"0.16";"3.54";"None";"3.16";"-3.11";"2";"MOL";"-1";"44";"13";"7";"3";"611.2955";"-0.64";"ACID";"C31H41N5O8";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)O)C(C)C)cc1";"BRXOSTDCWWZMCS-DPZBCOQUSA-N"
"CHEMBL270407";"";"";"Small molecule";"";"492.38";"2";"2";"3.72";"93.45";"6";"2";"0";"7";"N";"0.49";"3.60";"None";"4.08";"0.74";"3";"MOL";"-1";"32";"7";"2";"0";"491.0473";"-0.72";"ACID";"C22H19Cl2N3O4S";"COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=S)c2c(Cl)cccc2Cl)C(=O)O)cc1";"KAPPMFUDCROIMR-INIZCTEOSA-N"
