"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL64706";"ORBOFIBAN";"ORBOFIBAN|SC-57099B";"Small molecule";"-1.0";"361.40";"5";"14";"0.33";"137.61";"5";"4";"0";"7";"N";"0.31";"None";"11.47";"-0.90";"-3.31";"1";"MOL";"0";"26";"9";"5";"0";"361.1750";"-1.22";"BASE";"C17H23N5O4";"CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O";"VJDOPFARMOLELX-ZDUSSCGKSA-N"
"CHEMBL110083";"";"";"Small molecule";"";"481.51";"1";"1";"2.08";"137.09";"7";"3";"0";"7";"N";"0.47";"3.88";"5.03";"-0.86";"-2.84";"3";"MOL";"-1";"35";"11";"3";"1";"481.1961";"-0.68";"ACID";"C24H27N5O6";"COc1ccc(OC)c2[nH]c(CN(C)C(=O)c3ccc4c(c3)CN(C)C(=O)[C@H](CC(=O)O)N4)nc12";"NLZPVKJFFHYJNR-INIZCTEOSA-N"
"CHEMBL211163";"";"";"Small molecule";"";"398.44";"6";"9";"3.72";"99.43";"6";"2";"0";"5";"N";"0.74";"4.08";"2.39";"3.54";"0.56";"2";"MOL";"-1";"28";"7";"2";"0";"398.0936";"-1.00";"ACID";"C20H18N2O5S";"CCOc1cc(/C=C2/S/C(=N\c3ccc(C(=O)O)cc3)N(C)C2=O)ccc1O";"GNMWOXVKJGEQCU-OUYOUGTCSA-N"
"CHEMBL202054";"";"";"Small molecule";"";"469.58";"4";"10";"5.02";"84.34";"6";"2";"1";"10";"N";"0.43";"4.56";"7.51";"2.36";"2.13";"3";"MOL";"-1";"33";"6";"2";"1";"469.1835";"-0.54";"ACID";"C25H28FN3O3S";"COc1ccc(C(CC(=O)O)Cc2csc(CCCc3ccc4c(n3)NCCC4)n2)cc1F";"GJZSXEXGYRGEQC-UHFFFAOYSA-N"
"CHEMBL375650";"";"N-(2-Ethoxyphenyl)Imidodicarbonimidic Diamide";"Small molecule";"";"221.26";"1";"1";"0.92";"107.01";"3";"5";"0";"3";"N";"0.39";"None";"10.18";"0.93";"-2.02";"1";"MOL";"-1";"16";"6";"6";"1";"221.1277";"-0.88";"BASE";"C10H15N5O";"CCOc1ccccc1NC(=N)NC(=N)N";"KRWFGEYBAWMPBG-UHFFFAOYSA-N"
"CHEMBL60562";"";"";"Small molecule";"";"571.70";"2";"3";"2.44";"158.22";"8";"5";"1";"9";"N";"0.30";"3.81";"6.86";"0.51";"-0.11";"1";"MOL";"-1";"40";"11";"5";"2";"571.2465";"-0.58";"ACID";"C28H37N5O6S";"O=C(N[C@@H](CNC(=O)c1ccc(C2CC2C(=O)NC2=NCCCN2)s1)C(=O)O)OCC12CC3CC(CC(C3)C1)C2";"OPBHIRVCKAJWSD-FYPCEMBASA-N"
"CHEMBL201851";"";"";"Small molecule";"";"495.65";"1";"1";"4.78";"100.47";"8";"2";"0";"13";"N";"0.33";"3.09";"9.65";"2.08";"2.08";"3";"MOL";"-1";"35";"8";"2";"0";"495.2304";"-1.09";"ZWITTERION";"C26H33N5O3S";"COc1ccc(C(CC(=O)O)Cc2csc(CCCCNc3cc(N4CCCC4)ccn3)n2)cn1";"WNVOEBNTIMVWEQ-UHFFFAOYSA-N"
"CHEMBL59412";"";"";"Small molecule";"";"487.60";"2";"3";"0.05";"166.06";"8";"5";"0";"12";"N";"0.28";"3.71";"6.83";"-1.49";"-2.13";"1";"MOL";"-1";"32";"11";"5";"1";"487.1559";"-1.15";"ACID";"C19H29N5O6S2";"CCCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc(CCC(=O)NC2=NCCCN2)s1)C(=O)O";"UOOFXIFSMLAVLL-AWEZNQCLSA-N"
"CHEMBL113853";"";"";"Small molecule";"";"393.49";"7";"9";"3.52";"91.32";"4";"3";"0";"9";"N";"0.45";"4.46";"6.64";"0.97";"0.25";"2";"MOL";"-1";"29";"6";"3";"0";"393.2052";"-0.41";"ACID";"C23H27N3O3";"O=C(O)CC1CC(CNC(=O)CCCNc2ccccn2)=CCc2ccccc21";"LTTIHWWYCLBIKC-UHFFFAOYSA-N"
"CHEMBL1632519";"";"";"Small molecule";"";"480.62";"1";"1";"3.63";"92.26";"6";"1";"0";"10";"N";"0.37";"9.02";"None";"4.04";"4.03";"4";"MOL";"-1";"33";"7";"1";"0";"480.1290";"-1.90";"NEUTRAL";"C24H24N4O3S2";"O=C(CCNS(=O)(=O)c1cccc2nsnc12)N(CCc1ccccc1)Cc1ccccc1";"SIJOMEQIBYLGOZ-UHFFFAOYSA-N"
"CHEMBL202350";"";"";"Small molecule";"";"540.71";"1";"1";"5.06";"96.81";"9";"2";"2";"12";"N";"0.31";"2.66";"9.65";"2.44";"2.44";"3";"MOL";"-1";"37";"8";"2";"2";"540.1865";"-0.86";"ZWITTERION";"C27H32N4O4S2";"O=C(O)C[C@H](Cc1csc(CCCCNc2cc(N3CCSCC3)ccn2)n1)c1ccc2c(c1)OCO2";"OCFMIMLTAYUZOV-FQEVSTJZSA-N"
"CHEMBL169046";"";"25-Hydroxycholesterol";"Small molecule";"";"402.66";"25";"63";"6.50";"40.46";"2";"2";"1";"5";"N";"0.52";"None";"None";"5.64";"5.64";"0";"MOL";"-1";"29";"2";"2";"1";"402.3498";"2.64";"NEUTRAL";"C27H46O2";"C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C";"INBGSXNNRGWLJU-ZHHJOTBYSA-N"
"CHEMBL380290";"";"";"Small molecule";"";"494.55";"2";"2";"2.78";"127.96";"9";"3";"0";"11";"N";"0.37";"3.71";"7.18";"0.30";"-0.10";"3";"MOL";"-1";"36";"10";"3";"0";"494.2165";"-0.06";"ACID";"C26H30N4O6";"O=C(O)CC(Cc1cc(OCCc2ccc3c(n2)NCCC3)n(CCO)n1)c1ccc2c(c1)OCO2";"QFUAOXPDMSSGEO-UHFFFAOYSA-N"
"CHEMBL4787559";"";"";"Unknown";"";"733.78";"6";"6";"-0.46";"297.79";"8";"11";"2";"11";"N";"0.07";"3.70";"11.79";"-2.78";"-5.56";"3";"MOL";"-1";"53";"18";"12";"3";"733.3184";"0.87";"ZWITTERION";"C35H43N9O9";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"ZJLJEWROVSZOMN-GIBNYFNHSA-N"
"CHEMBL4787900";"";"";"Unknown";"";"813.92";"6";"7";"2.74";"260.49";"7";"10";"2";"10";"N";"0.04";"3.98";"12.14";"0.15";"0.15";"6";"MOL";"-1";"60";"16";"11";"3";"813.3598";"0.82";"ZWITTERION";"C44H47N9O7";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"PLRHJUOUNRRNJH-FWGRLYICSA-N"
"CHEMBL4799980";"";"";"Unknown";"";"706.60";"2";"2";"-0.72";"251.70";"7";"9";"2";"9";"N";"0.09";"4.02";"11.90";"-2.81";"-2.81";"2";"MOL";"-1";"46";"16";"10";"3";"705.2234";"0.95";"ZWITTERION";"C29H40BrN9O7";"CC(C)[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3c(Br)cccc23)C(=O)N1C";"RTHTZKFWJRGDKZ-AZXNSQLWSA-N"
"CHEMBL326724";"";"";"Small molecule";"";"494.55";"4";"6";"2.28";"130.09";"7";"3";"0";"9";"N";"0.48";"3.76";"6.52";"-0.65";"-1.48";"2";"MOL";"-1";"36";"10";"3";"0";"494.2165";"-0.21";"ACID";"C26H30N4O6";"O=C(O)C[C@H](NC(=O)CN1CC[C@H](CCc2ccc3c(n2)NCCC3)C1=O)c1ccc2c(c1)OCO2";"OAUKXLIBIFPGBT-PXNSSMCTSA-N"
