"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL58152";"";"";"Small molecule";"";"360.41";"2";"4";"-0.31";"101.98";"5";"3";"0";"6";"N";"0.64";"3.66";"8.86";"-2.98";"-2.99";"1";"MOL";"-1";"26";"8";"3";"0";"360.1798";"-0.94";"ZWITTERION";"C18H24N4O4";"O=C(O)CCNC(=O)CN1CCc2ccc(N3CCNCC3)cc2C1=O";"FVVIYCWJVVNTPI-UHFFFAOYSA-N"
"CHEMBL543666";"";"";"Small molecule";"";"499.87";"2";"4";"4.11";"85.83";"6";"2";"0";"6";"N";"0.43";"12.37";"9.77";"3.45";"1.16";"3";"MOL";"-1";"31";"6";"3";"0";"463.0902";"-1.97";"BASE";"C18H16ClF6N5OS";"Cl.NCCCNC(=O)c1cnn(-c2nc(-c3cccc(C(F)(F)F)c3)cs2)c1C(F)(F)F";"NZXYSSSPZGQVFP-UHFFFAOYSA-N"
"CHEMBL64706";"ORBOFIBAN";"ORBOFIBAN|SC-57099B";"Small molecule";"-1.0";"361.40";"5";"14";"0.33";"137.61";"5";"4";"0";"7";"N";"0.31";"None";"11.47";"-0.90";"-3.31";"1";"MOL";"0";"26";"9";"5";"0";"361.1750";"-1.22";"BASE";"C17H23N5O4";"CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O";"VJDOPFARMOLELX-ZDUSSCGKSA-N"
"CHEMBL202054";"";"";"Small molecule";"";"469.58";"4";"10";"5.02";"84.34";"6";"2";"1";"10";"N";"0.43";"4.56";"7.51";"2.36";"2.13";"3";"MOL";"-1";"33";"6";"2";"1";"469.1835";"-0.54";"ACID";"C25H28FN3O3S";"COc1ccc(C(CC(=O)O)Cc2csc(CCCc3ccc4c(n3)NCCC4)n2)cc1F";"GJZSXEXGYRGEQC-UHFFFAOYSA-N"
"CHEMBL60562";"";"";"Small molecule";"";"571.70";"2";"3";"2.44";"158.22";"8";"5";"1";"9";"N";"0.30";"3.81";"6.86";"0.51";"-0.11";"1";"MOL";"-1";"40";"11";"5";"2";"571.2465";"-0.58";"ACID";"C28H37N5O6S";"O=C(N[C@@H](CNC(=O)c1ccc(C2CC2C(=O)NC2=NCCCN2)s1)C(=O)O)OCC12CC3CC(CC(C3)C1)C2";"OPBHIRVCKAJWSD-FYPCEMBASA-N"
"CHEMBL59412";"";"";"Small molecule";"";"487.60";"2";"3";"0.05";"166.06";"8";"5";"0";"12";"N";"0.28";"3.71";"6.83";"-1.49";"-2.13";"1";"MOL";"-1";"32";"11";"5";"1";"487.1559";"-1.15";"ACID";"C19H29N5O6S2";"CCCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc(CCC(=O)NC2=NCCCN2)s1)C(=O)O";"UOOFXIFSMLAVLL-AWEZNQCLSA-N"
"CHEMBL113853";"";"";"Small molecule";"";"393.49";"7";"9";"3.52";"91.32";"4";"3";"0";"9";"N";"0.45";"4.46";"6.64";"0.97";"0.25";"2";"MOL";"-1";"29";"6";"3";"0";"393.2052";"-0.41";"ACID";"C23H27N3O3";"O=C(O)CC1CC(CNC(=O)CCCNc2ccccn2)=CCc2ccccc21";"LTTIHWWYCLBIKC-UHFFFAOYSA-N"
"CHEMBL147921";"";"";"Small molecule";"";"448.44";"1";"3";"-2.00";"206.22";"6";"6";"1";"9";"N";"0.18";"3.30";"11.91";"-4.61";"-7.64";"1";"MOL";"-1";"32";"13";"7";"2";"448.1706";"-0.76";"ZWITTERION";"C19H24N6O7";"N=C(N)NCc1ccc(C(=O)NCC(=O)N2CCN(CC(=O)O)C(=O)[C@@H]2CC(=O)O)cc1";"MVSMMWWPHRKZSJ-ZDUSSCGKSA-N"
"CHEMBL4787559";"";"";"Unknown";"";"733.78";"6";"6";"-0.46";"297.79";"8";"11";"2";"11";"N";"0.07";"3.70";"11.79";"-2.78";"-5.56";"3";"MOL";"-1";"53";"18";"12";"3";"733.3184";"0.87";"ZWITTERION";"C35H43N9O9";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"ZJLJEWROVSZOMN-GIBNYFNHSA-N"
"CHEMBL4787900";"";"";"Unknown";"";"813.92";"6";"7";"2.74";"260.49";"7";"10";"2";"10";"N";"0.04";"3.98";"12.14";"0.15";"0.15";"6";"MOL";"-1";"60";"16";"11";"3";"813.3598";"0.82";"ZWITTERION";"C44H47N9O7";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"PLRHJUOUNRRNJH-FWGRLYICSA-N"
"CHEMBL326724";"";"";"Small molecule";"";"494.55";"4";"6";"2.28";"130.09";"7";"3";"0";"9";"N";"0.48";"3.76";"6.52";"-0.65";"-1.48";"2";"MOL";"-1";"36";"10";"3";"0";"494.2165";"-0.21";"ACID";"C26H30N4O6";"O=C(O)C[C@H](NC(=O)CN1CC[C@H](CCc2ccc3c(n2)NCCC3)C1=O)c1ccc2c(c1)OCO2";"OAUKXLIBIFPGBT-PXNSSMCTSA-N"
"CHEMBL106947";"";"";"Small molecule";"";"504.58";"2";"3";"2.23";"147.12";"8";"3";"1";"11";"N";"0.18";"10.15";"1.74";"1.47";"1.47";"1";"MOL";"-1";"36";"11";"3";"2";"504.2584";"-0.88";"NEUTRAL";"C25H36N4O7";"CCCCOC(=O)NC(=N)c1ccc(C(=O)N[C@@H](C)C(=O)N2CCC(OCC(=O)OCC)CC2)cc1";"ORLUYIVGBLIWDQ-KRWDZBQOSA-N"
"CHEMBL129445";"";"";"Small molecule";"";"483.53";"2";"3";"2.30";"151.24";"8";"4";"0";"13";"N";"0.32";"3.51";"6.64";"0.89";"0.10";"2";"MOL";"-1";"35";"11";"4";"1";"483.2118";"-0.55";"ACID";"C24H29N5O6";"O=C(N[C@@H](CNC(=O)C1=NOC(CCCCNc2ccccn2)C1)C(=O)O)OCc1ccccc1";"QMDYBRLNVNFYOG-IJHRGXPZSA-N"
"CHEMBL151868";"";"";"Small molecule";"";"542.68";"1";"1";"4.55";"111.63";"5";"3";"1";"9";"N";"0.37";"3.80";"10.36";"0.25";"0.25";"3";"MOL";"-1";"40";"8";"3";"1";"542.2893";"-0.87";"ZWITTERION";"C32H38N4O4";"O=C(O)CC(NC(=O)C1CCCN(C(=O)CCC2CCNCC2)C1)c1cncc(-c2cccc3ccccc23)c1";"JDHLZTCLPIQCRV-UHFFFAOYSA-N"
"CHEMBL164670";"";"";"Small molecule";"";"658.76";"2";"2";"0.12";"238.41";"9";"7";"2";"6";"N";"0.10";"3.64";"10.80";"-2.62";"-2.62";"2";"MOL";"-1";"45";"15";"9";"3";"658.1992";"0.50";"ZWITTERION";"C28H34N8O7S2";"CN1CC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)Nc2ccccc2SSc2ccccc2C1=O";"GZKOYPGOEKDKDD-OALUTQOASA-N"
"CHEMBL176094";"";"";"Small molecule";"";"447.50";"1";"1";"2.39";"152.37";"4";"5";"0";"7";"N";"0.28";"4.09";"11.16";"-0.42";"-0.42";"3";"MOL";"-1";"33";"9";"6";"1";"447.1907";"-0.81";"ZWITTERION";"C24H25N5O4";"N=C(N)c1ccc2[nH]c(C(=O)N3CCC[C@H]3C(=O)NC(CC(=O)O)c3ccccc3)cc2c1";"JSPYGRQPUPDEET-IJHRGXPZSA-N"
