"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2030808";"";"";"Small molecule";"";"489.36";"7";"10";"3.87";"113.44";"6";"3";"0";"10";"N";"0.40";"3.17";"6.88";"1.30";"0.73";"3";"MOL";"-1";"33";"8";"3";"0";"488.1018";"-0.76";"ACID";"C23H22Cl2N4O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cncc3Cl)C(=O)O)cc2)n1";"WORXKOOYMZPIGP-IBGZPJMESA-N"
"CHEMBL2030800";"";"";"Small molecule";"";"471.92";"7";"11";"3.96";"100.55";"5";"3";"0";"10";"N";"0.41";"3.39";"6.88";"2.07";"1.49";"3";"MOL";"-1";"33";"7";"3";"0";"471.1361";"-1.11";"ACID";"C24H23ClFN3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(F)cccc3Cl)C(=O)O)cc2)n1";"NNGZKLHXGWZBQW-FQEVSTJZSA-N"
"CHEMBL2030807";"";"";"Small molecule";"";"488.37";"7";"18";"4.48";"100.55";"5";"3";"0";"10";"N";"0.39";"3.39";"6.88";"2.53";"1.95";"3";"MOL";"-1";"33";"7";"3";"0";"487.1066";"-0.78";"ACID";"C24H23Cl2N3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)n1";"BPTWIXQUGNKCHT-FQEVSTJZSA-N"
"CHEMBL2030812";"";"";"Small molecule";"";"439.56";"6";"9";"3.83";"100.55";"5";"3";"0";"10";"N";"0.52";"3.90";"6.88";"2.19";"1.60";"2";"MOL";"-1";"32";"7";"3";"0";"439.2471";"-0.38";"ACID";"C25H33N3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)C3(C)CCCCC3)C(=O)O)cc2)n1";"XOCIVSKNARLKGI-NRFANRHFSA-N"
"CHEMBL2030968";"";"";"Small molecule";"";"489.36";"4";"6";"3.87";"113.44";"6";"3";"0";"10";"N";"0.40";"2.12";"6.88";"1.23";"0.76";"3";"MOL";"-1";"33";"8";"3";"0";"488.1018";"-0.85";"ACID";"C23H22Cl2N4O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)nc2)n1";"PVQYTVXYFKKNTQ-IBGZPJMESA-N"
"CHEMBL145085";"";"Alpha-V Beta-3 Antagonist";"Small molecule";"";"439.52";"12";"65";"2.73";"107.89";"6";"2";"0";"9";"N";"0.62";"3.97";"6.52";"-0.31";"-1.14";"2";"MOL";"-1";"32";"9";"2";"0";"439.2220";"-0.69";"ACID";"C23H29N5O4";"COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1";"HGFOOLONGOBCMP-IBGZPJMESA-N"
"CHEMBL2030806";"";"";"Small molecule";"";"461.56";"6";"9";"4.10";"100.55";"5";"3";"0";"10";"N";"0.42";"3.80";"6.88";"2.90";"2.31";"3";"MOL";"-1";"34";"7";"3";"0";"461.2315";"-0.61";"ACID";"C27H31N3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(C)cc(C)cc3C)C(=O)O)cc2)n1";"CJYMQDSGVRJJGX-QHCPKHFHSA-N"
"CHEMBL2030798";"";"";"Small molecule";"";"453.93";"7";"11";"3.82";"100.55";"5";"3";"0";"10";"N";"0.43";"3.47";"6.88";"1.93";"1.35";"3";"MOL";"-1";"32";"7";"3";"0";"453.1455";"-0.95";"ACID";"C24H24ClN3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccccc3Cl)C(=O)O)cc2)n1";"WYPGVVZBOCXSCK-NRFANRHFSA-N"
"CHEMBL2030797";"";"";"Small molecule";"";"419.48";"4";"6";"3.17";"100.55";"5";"3";"0";"10";"N";"0.47";"3.55";"6.88";"1.33";"0.75";"3";"MOL";"-1";"31";"7";"3";"0";"419.1845";"-0.65";"ACID";"C24H25N3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccccc3)C(=O)O)cc2)n1";"LBMGZTODNZDURL-NRFANRHFSA-N"
"CHEMBL2030960";"";"";"Small molecule";"";"502.40";"5";"7";"4.79";"100.55";"5";"3";"1";"10";"N";"0.37";"3.49";"6.88";"3.05";"2.47";"3";"MOL";"-1";"34";"7";"3";"1";"501.1222";"-0.78";"ACID";"C25H25Cl2N3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1";"AYXKDCNGRBXXLP-FQEVSTJZSA-N"
