"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL202054";"";"";"Small molecule";"";"469.58";"4";"10";"5.02";"84.34";"6";"2";"1";"10";"N";"0.43";"4.56";"7.51";"2.36";"2.13";"3";"MOL";"-1";"33";"6";"2";"1";"469.1835";"-0.54";"ACID";"C25H28FN3O3S";"COc1ccc(C(CC(=O)O)Cc2csc(CCCc3ccc4c(n3)NCCC4)n2)cc1F";"GJZSXEXGYRGEQC-UHFFFAOYSA-N"
"CHEMBL380290";"";"";"Small molecule";"";"494.55";"2";"2";"2.78";"127.96";"9";"3";"0";"11";"N";"0.37";"3.71";"7.18";"0.30";"-0.10";"3";"MOL";"-1";"36";"10";"3";"0";"494.2165";"-0.06";"ACID";"C26H30N4O6";"O=C(O)CC(Cc1cc(OCCc2ccc3c(n2)NCCC3)n(CCO)n1)c1ccc2c(c1)OCO2";"QFUAOXPDMSSGEO-UHFFFAOYSA-N"
"CHEMBL4787559";"";"";"Unknown";"";"733.78";"6";"6";"-0.46";"297.79";"8";"11";"2";"11";"N";"0.07";"3.70";"11.79";"-2.78";"-5.56";"3";"MOL";"-1";"53";"18";"12";"3";"733.3184";"0.87";"ZWITTERION";"C35H43N9O9";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"ZJLJEWROVSZOMN-GIBNYFNHSA-N"
"CHEMBL4787900";"";"";"Unknown";"";"813.92";"6";"7";"2.74";"260.49";"7";"10";"2";"10";"N";"0.04";"3.98";"12.14";"0.15";"0.15";"6";"MOL";"-1";"60";"16";"11";"3";"813.3598";"0.82";"ZWITTERION";"C44H47N9O7";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"PLRHJUOUNRRNJH-FWGRLYICSA-N"
"CHEMBL4800284";"";"";"Unknown";"";"407.51";"6";"6";"3.48";"82.53";"4";"2";"0";"7";"N";"0.73";"4.49";"7.52";"0.79";"0.56";"2";"MOL";"-1";"30";"6";"2";"0";"407.2209";"-0.40";"ACID";"C24H29N3O3";"O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1ccccc1";"FRVXYRMGRBRKHN-UTKZUKDTSA-N"
"CHEMBL226253";"";"";"Small molecule";"";"326.40";"2";"3";"3.32";"71.45";"4";"2";"0";"8";"N";"0.78";"4.08";"6.88";"0.82";"0.23";"2";"MOL";"-1";"24";"5";"2";"0";"326.1630";"-0.25";"ACID";"C19H22N2O3";"CNc1cccc(CCOc2ccc(C3CC3CC(=O)O)cc2)n1";"XWRTZPXJAOUAPR-UHFFFAOYSA-N"
"CHEMBL244013";"";"";"Small molecule";"";"584.81";"8";"10";"1.31";"192.61";"9";"8";"2";"8";"N";"0.23";"3.18";"8.32";"-0.77";"-1.18";"2";"MOL";"-1";"36";"12";"8";"3";"583.0469";"-0.41";"ACID";"C22H23BrClN5O7";"O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Br)c1O";"XROUNTCRSNMMAO-KRWDZBQOSA-N"
"CHEMBL242707";"";"";"Small molecule";"";"583.83";"2";"2";"1.18";"198.40";"9";"8";"2";"8";"N";"0.21";"2.99";"8.72";"-1.30";"-1.67";"2";"MOL";"-1";"36";"12";"9";"3";"582.0629";"-0.58";"ZWITTERION";"C22H24BrClN6O6";"Nc1cc(NC2=NCC(O)CN2)cc(C(=O)NCC(=O)N[C@H](CC(=O)O)c2cc(Cl)cc(Br)c2O)c1";"IFSFMYKCQAKBNP-QGZVFWFLSA-N"
"CHEMBL209983";"";"";"Small molecule";"";"450.50";"4";"5";"3.31";"118.59";"7";"3";"0";"9";"N";"0.45";"3.82";"7.18";"0.83";"0.46";"3";"MOL";"-1";"33";"9";"3";"0";"450.1903";"0.09";"ACID";"C24H26N4O5";"O=C(O)CC(Cc1cc(OCCc2ccc3c(n2)NCCC3)[nH]n1)c1ccc2c(c1)OCO2";"CTHYLBXDQVAGEJ-UHFFFAOYSA-N"
"CHEMBL3356153";"";"";"Small molecule";"";"587.50";"1";"2";"5.00";"129.65";"6";"4";"2";"16";"N";"0.17";"3.99";"6.64";"2.52";"1.71";"3";"MOL";"-1";"40";"9";"4";"2";"586.1750";"-0.70";"ACID";"C29H32Cl2N4O5";"O=C(O)C[C@H](NC(=O)C(COCc1ccccc1)NC(=O)CCCCNc1ccccn1)c1cc(Cl)cc(Cl)c1";"JHJAHOCSWUTJGR-SKCDSABHSA-N"
