"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL113853";"";"";"Small molecule";"";"393.49";"7";"9";"3.52";"91.32";"4";"3";"0";"9";"N";"0.45";"4.46";"6.64";"0.97";"0.25";"2";"MOL";"-1";"29";"6";"3";"0";"393.2052";"-0.41";"ACID";"C23H27N3O3";"O=C(O)CC1CC(CNC(=O)CCCNc2ccccn2)=CCc2ccccc21";"LTTIHWWYCLBIKC-UHFFFAOYSA-N"
"CHEMBL4748028";"";"";"Unknown";"";"486.41";"3";"3";"4.24";"82.53";"4";"2";"0";"7";"N";"0.61";"3.71";"7.52";"1.50";"1.28";"2";"MOL";"-1";"31";"6";"2";"0";"485.1314";"-0.48";"ACID";"C24H28BrN3O3";"O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(Br)c1";"HODJKXWPFAAILA-IERDGZPVSA-N"
"CHEMBL4800284";"";"";"Unknown";"";"407.51";"6";"6";"3.48";"82.53";"4";"2";"0";"7";"N";"0.73";"4.49";"7.52";"0.79";"0.56";"2";"MOL";"-1";"30";"6";"2";"0";"407.2209";"-0.40";"ACID";"C24H29N3O3";"O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1ccccc1";"FRVXYRMGRBRKHN-UTKZUKDTSA-N"
"CHEMBL4751706";"";"";"Unknown";"";"492.44";"3";"3";"4.30";"82.53";"5";"2";"0";"7";"N";"0.60";"4.04";"7.52";"1.43";"1.20";"2";"MOL";"-1";"30";"6";"2";"0";"491.0878";"-0.68";"ACID";"C22H26BrN3O3S";"O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cc(Br)cs1";"ZHXUKLZFCFJOMF-KDOFPFPSSA-N"
"CHEMBL3923968";"";"";"Small molecule";"";"584.70";"5";"6";"1.31";"169.30";"8";"5";"1";"13";"N";"0.22";"3.18";"11.24";"-0.12";"-0.12";"2";"MOL";"-1";"41";"12";"5";"2";"584.2417";"-1.10";"ZWITTERION";"C28H36N6O6S";"O=C(CCCCNC1=NCCN1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"NBFYQDLZBZGXPB-ZEQRLZLVSA-N"
"CHEMBL284274";"";"";"Small molecule";"";"441.49";"4";"5";"2.76";"166.63";"5";"6";"1";"7";"N";"0.28";"3.37";"8.82";"0.99";"0.97";"2";"MOL";"-1";"32";"10";"7";"1";"441.2012";"-0.81";"ZWITTERION";"C22H27N5O5";"CC(C)(C)OC(=O)NC(Cc1ccc(NC(=O)c2cccc(NC(=N)N)c2)cc1)C(=O)O";"DIMDWQUSJSWNOO-UHFFFAOYSA-N"
"CHEMBL591778";"";"";"Small molecule";"";"504.61";"5";"5";"4.59";"94.56";"5";"3";"1";"9";"N";"0.39";"3.88";"6.66";"3.29";"2.67";"3";"MOL";"-1";"37";"7";"3";"1";"504.2537";"-1.06";"ACID";"C29H33FN4O3";"Cc1cc(F)cc(C)c1C(=O)NC(Cc1ccc(N2CCC(CNc3ccccn3)CC2)cc1)C(=O)O";"FSPLAXQMJPHBAM-UHFFFAOYSA-N"
"CHEMBL209983";"";"";"Small molecule";"";"450.50";"4";"5";"3.31";"118.59";"7";"3";"0";"9";"N";"0.45";"3.82";"7.18";"0.83";"0.46";"3";"MOL";"-1";"33";"9";"3";"0";"450.1903";"0.09";"ACID";"C24H26N4O5";"O=C(O)CC(Cc1cc(OCCc2ccc3c(n2)NCCC3)[nH]n1)c1ccc2c(c1)OCO2";"CTHYLBXDQVAGEJ-UHFFFAOYSA-N"
"CHEMBL380434";"";"";"Protein";"";"622.68";"2";"2";"-1.72";"244.70";"7";"9";"2";"10";"N";"0.08";"3.93";"12.13";"-3.14";"-3.14";"2";"BOTH";"-1";"45";"15";"10";"3";"622.2863";"0.67";"ZWITTERION";"C30H38N8O7";"N=C(N)NCCC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O";"VYLBOUQMYNRGBR-GPJHCHHRSA-N"
"CHEMBL362114";"";"";"Small molecule";"";"504.68";"3";"3";"4.40";"85.77";"5";"2";"1";"8";"N";"0.55";"4.53";"6.53";"2.06";"1.34";"2";"MOL";"-1";"37";"7";"2";"1";"504.3100";"-0.18";"ACID";"C30H40N4O3";"CN1CC(C(CC(=O)O)CC2CCN(C(=O)CCc3ccc4c(n3)NCCC4)CC2)Cc2ccccc21";"JJAXPFWZGVIPSO-UHFFFAOYSA-N"
"CHEMBL2371899";"";"";"Protein";"";"672.69";"2";"2";"-1.09";"244.70";"7";"9";"2";"11";"N";"0.08";"3.87";"11.99";"-2.59";"-2.59";"2";"BOTH";"-1";"48";"15";"10";"3";"672.2832";"0.67";"ZWITTERION";"C31H38F2N8O7";"N=C(N)NCCC[C@@H]1NC(=O)[C@@](Cc2ccccc2)(C(F)F)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O";"DZUCEYPUEFNCRE-OUIYTQGXSA-N"
"CHEMBL593702";"";"";"Small molecule";"";"513.66";"4";"4";"6.08";"91.32";"5";"3";"2";"9";"N";"0.25";"4.53";"7.38";"5.10";"4.81";"4";"MOL";"-1";"37";"6";"3";"2";"513.2086";"-0.79";"ACID";"C30H31N3O3S";"Cc1ccnc(NCc2csc(-c3ccc(C[C@H](NC(=O)c4c(C)cc(C)cc4C)C(=O)O)cc3)c2)c1";"FAUUZARDASUJGS-VWLOTQADSA-N"
"CHEMBL4250148";"";"";"Small molecule";"";"487.65";"8";"13";"4.66";"83.28";"6";"2";"0";"9";"N";"0.46";"4.13";"10.39";"1.45";"1.22";"3";"MOL";"-1";"36";"7";"2";"0";"487.2947";"-0.49";"ZWITTERION";"C29H37N5O2";"Cc1cnn(C)c1-c1cccc([C@H](CC(=O)O)CN2CC[C@@H](CCc3ccc4c(n3)NCCC4)C2)c1";"JXJGHJUDGYCRBL-PXDATVDWSA-N"
"CHEMBL2180973";"";"";"Small molecule";"";"601.62";"3";"3";"-3.77";"265.01";"8";"9";"2";"8";"N";"0.06";"3.72";"11.98";"-6.25";"-6.25";"1";"MOL";"-1";"43";"17";"10";"3";"601.2609";"0.59";"ZWITTERION";"C26H35N9O8";"N=C(N)NCCC[C@@H]1NC(=O)C[C@@H]2C(=O)N[C@@H](CNC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O)C(=O)N2Cc1ccccc1";"FLABGAZLPSNUBD-XLAORIBOSA-N"
"CHEMBL36457";"";"";"Small molecule";"";"398.85";"4";"5";"3.45";"102.82";"5";"4";"0";"5";"N";"0.58";"3.08";"7.45";"1.55";"1.28";"2";"MOL";"-1";"28";"7";"4";"0";"398.1146";"-0.96";"ACID";"C20H19ClN4O3";"O=C(O)/C=C/c1ccc(NC(=O)c2cccc(NC3=NCCCN3)c2)c(Cl)c1";"KNVMGBKMZYKHLR-SOFGYWHQSA-N"
"CHEMBL35258";"";"";"Small molecule";"";"356.38";"4";"5";"2.27";"137.53";"4";"5";"0";"7";"N";"0.38";"3.55";"8.60";"0.32";"0.29";"2";"MOL";"-1";"26";"8";"6";"1";"356.1485";"-0.67";"ZWITTERION";"C18H20N4O4";"COc1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1CCC(=O)O";"XQUBDNIAAQZFBH-UHFFFAOYSA-N"
"CHEMBL226000";"";"";"Small molecule";"";"368.43";"3";"4";"3.35";"91.68";"5";"3";"0";"7";"N";"0.69";"3.79";"7.18";"0.93";"0.52";"2";"MOL";"-1";"27";"6";"3";"0";"368.1736";"0.51";"ACID";"C21H24N2O4";"O=C(O)CC1CC1c1ccc(OCCc2ccc3c(n2)NCCC3)c(O)c1";"FCUCMIIVLCLREX-UHFFFAOYSA-N"
"CHEMBL444303";"";"";"Small molecule";"";"352.39";"4";"5";"2.96";"128.30";"3";"5";"0";"5";"N";"0.32";"3.65";"7.76";"1.58";"1.43";"2";"MOL";"-1";"26";"7";"6";"1";"352.1535";"-0.65";"ACID";"C19H20N4O3";"Cc1cc(/C=C/C(=O)O)cc(C)c1NC(=O)c1cccc(NC(=N)N)c1";"ZRJWCMMGIIGFRZ-VOTSOKGWSA-N"
