"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL81990";"";"";"Small molecule";"";"505.79";"4";"9";"5.63";"95.50";"3";"3";"2";"7";"N";"0.39";"3.49";"None";"6.17";"2.79";"3";"MOL";"-1";"33";"6";"3";"2";"504.0410";"-0.78";"ACID";"C24H19Cl3N2O4";"Cc1cccc(Cl)c1C(=O)N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O";"JTVWJXUGGJTGDA-IBGZPJMESA-N"
"CHEMBL3959435";"";"";"Small molecule";"";"385.45";"5";"27";"1.78";"105.49";"4";"2";"0";"4";"N";"0.71";"None";"None";"1.54";"1.54";"3";"MOL";"-1";"27";"7";"3";"0";"385.1096";"-0.89";"NEUTRAL";"C19H19N3O4S";"COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1";"KBVPHVCPUVDXOQ-UHFFFAOYSA-N"
"CHEMBL238779";"";"";"Small molecule";"";"524.60";"6";"8";"2.06";"144.91";"5";"4";"1";"9";"N";"0.34";"3.31";"None";"1.85";"-1.57";"3";"MOL";"-1";"37";"10";"4";"1";"524.1730";"-1.24";"ACID";"C26H28N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc2ccccc2c1)C(=O)O";"WQVOUYNTLLCWOA-GOTSBHOMSA-N"
"CHEMBL429088";"";"";"Small molecule";"";"474.54";"6";"8";"0.91";"144.91";"5";"4";"0";"9";"N";"0.43";"3.25";"None";"0.87";"-2.57";"2";"MOL";"-1";"33";"10";"4";"0";"474.1573";"-1.33";"ACID";"C22H26N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1)C(=O)O";"ZXRLVUCOFJPEID-OALUTQOASA-N"
"CHEMBL3114860";"";"";"Small molecule";"";"387.82";"1";"1";"3.09";"84.86";"4";"2";"0";"1";"N";"0.73";"3.35";"None";"3.40";"-0.02";"2";"MOL";"-1";"27";"6";"2";"0";"387.0874";"1.06";"ACID";"C20H18ClNO5";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OC/C=C/COc2ccc1c(Cl)c2";"KBMXMIHYKVQSHP-KROLTMCQSA-N"
"CHEMBL3115072";"";"";"Small molecule";"";"377.83";"1";"1";"2.52";"93.45";"5";"2";"0";"1";"N";"0.80";"3.35";"6.12";"0.89";"-0.35";"2";"MOL";"-1";"26";"7";"2";"0";"377.1142";"0.26";"ACID";"C18H20ClN3O4";"O=C1N[C@H](C(=O)O)Cc2cn(cn2)CCCCCOc2ccc(Cl)c1c2";"VOZWZDMFSQVZQP-INIZCTEOSA-N"
"CHEMBL447509";"";"";"Small molecule";"";"810.95";"9";"34";"4.11";"250.81";"8";"8";"2";"21";"N";"0.06";"3.97";"4.90";"2.37";"0.18";"3";"MOL";"-1";"59";"16";"9";"3";"810.4065";"-0.70";"ACID";"C43H54N8O8";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N[C@@H](CCCCNC(=O)/C=C/c2cccnc2)C(=O)N[C@@H](CCCC(=O)O)C(=O)NC2(C(N)=O)CCCCC2)cc1";"OOYFOUHICCOHRQ-CVLSMVSNSA-N"
"CHEMBL393213";"";"";"Small molecule";"";"543.43";"6";"8";"2.22";"144.91";"5";"4";"1";"9";"N";"0.38";"3.11";"None";"2.07";"-1.39";"2";"MOL";"-1";"35";"10";"4";"1";"542.0794";"-1.38";"ACID";"C22H24Cl2N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1)C(=O)O";"NYGQATJDYMZDLT-OALUTQOASA-N"
"CHEMBL401237";"";"";"Small molecule";"";"489.55";"6";"8";"0.49";"170.93";"6";"5";"0";"9";"N";"0.32";"3.25";"4.33";"-1.09";"-3.36";"2";"MOL";"-1";"34";"11";"6";"2";"489.1682";"-1.29";"ACID";"C22H27N5O6S";"Nc1ccc(CNC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"QKMRLEQVMNWNFD-OALUTQOASA-N"
"CHEMBL3115050";"";"";"Small molecule";"";"398.37";"1";"1";"2.35";"128.00";"6";"2";"0";"2";"N";"0.45";"3.00";"None";"2.73";"-0.74";"2";"MOL";"-1";"29";"9";"2";"0";"398.1114";"0.81";"ACID";"C20H18N2O7";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OC/C=C/COc2ccc([N+](=O)[O-])c1c2";"GSBDJNSXYKUYNP-IMLGJKEDSA-N"
"CHEMBL3319237";"";"";"Small molecule";"";"590.48";"11";"16";"2.25";"172.38";"8";"7";"2";"8";"N";"0.25";"3.60";"8.29";"0.48";"0.43";"2";"MOL";"-1";"38";"11";"7";"3";"589.1536";"-0.47";"ACID";"C26H32BrN5O6";"CC(C)(C)c1cc(Br)cc([C@H](CC(=O)O)NC(=O)CNC(=O)c2cc(O)cc(NC3=NCC(O)CN3)c2)c1";"YDHAGPCZRFQPOI-NRFANRHFSA-N"
"CHEMBL3115062";"";"";"Small molecule";"";"363.80";"1";"1";"2.13";"93.45";"5";"2";"0";"1";"N";"0.81";"3.36";"6.12";"0.44";"-0.79";"2";"MOL";"-1";"25";"7";"2";"0";"363.0986";"0.28";"ACID";"C17H18ClN3O4";"O=C1N[C@H](C(=O)O)Cc2cn(cn2)CCCCOc2ccc(Cl)c1c2";"CNVZYIOAIFJZCD-HNNXBMFYSA-N"
"CHEMBL3115073";"";"";"Small molecule";"";"345.79";"1";"1";"2.07";"84.22";"4";"2";"0";"1";"N";"0.77";"3.48";"6.34";"0.93";"-0.13";"2";"MOL";"-1";"24";"6";"2";"0";"345.0880";"0.66";"ACID";"C17H16ClN3O3";"O=C1N[C@H](C(=O)O)Cc2cn(cn2)C/C=C/Cc2ccc(Cl)c1c2";"CRJZTXVLJWNQDW-YLSAJCSVSA-N"
"CHEMBL3114873";"";"";"Small molecule";"";"367.40";"1";"1";"2.75";"84.86";"4";"2";"0";"1";"N";"0.76";"3.52";"None";"3.30";"-0.06";"2";"MOL";"-1";"27";"6";"2";"0";"367.1420";"1.15";"ACID";"C21H21NO5";"Cc1ccc2cc1C(=O)N[C@H](C(=O)O)Cc1cccc(c1)OC/C=C/CO2";"YTERIDFBKZENLC-PHXNAMCJSA-N"
"CHEMBL391118";"";"";"Small molecule";"";"502.59";"6";"8";"1.53";"144.91";"5";"4";"1";"9";"N";"0.41";"3.28";"None";"1.89";"-1.54";"2";"MOL";"-1";"35";"10";"4";"1";"502.1886";"-1.24";"ACID";"C24H30N4O6S";"Cc1cc(C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc2ccccc2)C(=O)O)c1";"ACPGEFYNFSMQSQ-SFTDATJTSA-N"
"CHEMBL3114864";"";"";"Small molecule";"";"387.82";"1";"1";"3.09";"84.86";"4";"2";"0";"1";"N";"0.73";"3.48";"None";"3.40";"0.02";"2";"MOL";"-1";"27";"6";"2";"0";"387.0874";"0.95";"ACID";"C20H18ClNO5";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OC/C=C/COc2cccc(Cl)c21";"NSAHPDSQIRNDGO-PYKQWIPUSA-N"
"CHEMBL3114877";"";"";"Small molecule";"";"373.38";"1";"1";"2.80";"84.86";"4";"2";"0";"1";"N";"0.80";"3.53";"None";"2.98";"-0.38";"2";"MOL";"-1";"27";"6";"2";"0";"373.1326";"0.57";"ACID";"C20H20FNO5";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OCCCCOc2cccc(F)c21";"DJFMCLBEHCXHRR-INIZCTEOSA-N"
"CHEMBL3115070";"";"";"Small molecule";"";"377.83";"1";"1";"2.52";"93.45";"5";"2";"0";"1";"N";"0.80";"3.37";"6.14";"0.73";"-0.48";"2";"MOL";"-1";"26";"7";"2";"0";"377.1142";"0.23";"ACID";"C18H20ClN3O4";"O=C1NC(C(=O)O)CCc2cn(cn2)CCCCOc2ccc(Cl)c1c2";"NVXMKRZEAIXPMU-UHFFFAOYSA-N"
"CHEMBL3115063";"";"";"Small molecule";"";"361.79";"1";"1";"1.91";"93.45";"5";"2";"0";"1";"N";"0.76";"3.25";"6.34";"0.39";"-0.66";"2";"MOL";"-1";"25";"7";"2";"0";"361.0829";"0.58";"ACID";"C17H16ClN3O4";"O=C1N[C@H](C(=O)O)Cc2cn(cn2)C/C=C/COc2ccc1c(Cl)c2";"MXVNNRPZXJVWDK-YLSAJCSVSA-N"
"CHEMBL3114861";"";"";"Small molecule";"";"389.84";"1";"1";"3.32";"84.86";"4";"2";"0";"1";"N";"0.78";"3.34";"None";"3.45";"0.03";"2";"MOL";"-1";"27";"6";"2";"0";"389.1030";"0.84";"ACID";"C20H20ClNO5";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OCCCCOc2ccc1c(Cl)c2";"NHZAXNNFKILNCX-SFHVURJKSA-N"
"CHEMBL3114867";"";"";"Small molecule";"";"387.82";"1";"1";"3.09";"84.86";"4";"2";"0";"1";"N";"0.73";"3.44";"None";"3.40";"0.00";"2";"MOL";"-1";"27";"6";"2";"0";"387.0874";"0.88";"ACID";"C20H18ClNO5";"O=C1N[C@H](C(=O)O)Cc2ccc(cc2)OC/C=C/COc2cccc(Cl)c21";"BAWJRRUGVCVUHL-PYKQWIPUSA-N"
"CHEMBL3115067";"";"";"Small molecule";"";"362.77";"1";"1";"1.31";"106.34";"6";"2";"0";"1";"N";"0.74";"3.16";"6.34";"0.16";"-0.90";"2";"MOL";"-1";"25";"8";"2";"0";"362.0782";"0.21";"ACID";"C16H15ClN4O4";"O=C1N[C@H](C(=O)O)Cc2cn(cn2)C/C=C/COc2ccc(Cl)c1n2";"CRKRBHBMNNGEOT-ISUDXETCSA-N"
"CHEMBL3115064";"";"";"Small molecule";"";"361.79";"1";"1";"1.91";"93.45";"5";"2";"0";"1";"N";"0.76";"3.34";"6.34";"0.40";"-0.66";"2";"MOL";"-1";"25";"7";"2";"0";"361.0829";"0.51";"ACID";"C17H16ClN3O4";"O=C1N[C@@H](C(=O)O)Cc2cn(cn2)C/C=C/COc2ccc(Cl)c1c2";"XXVHVXVVXGOJQZ-BGTMTDRBSA-N"
"CHEMBL3114871";"";"";"Small molecule";"";"355.39";"1";"1";"2.66";"84.86";"4";"2";"0";"1";"N";"0.82";"3.43";"None";"2.84";"-0.55";"2";"MOL";"-1";"26";"6";"2";"0";"355.1420";"0.90";"ACID";"C20H21NO5";"O=C1N[C@H](C(=O)O)Cc2cccc(c2)OCCCCOc2cccc1c2";"QBYRJXAAARBVOB-SFHVURJKSA-N"
"CHEMBL4649149";"";"";"Unknown";"";"467.58";"1";"1";"4.62";"96.33";"6";"2";"0";"6";"N";"0.43";"11.73";"1.70";"3.77";"3.77";"4";"MOL";"-1";"32";"8";"2";"0";"467.1086";"-1.96";"NEUTRAL";"C22H21N5O3S2";"CN(c1ccc(NC(=O)Nc2ccccc2)cc1)S(=O)(=O)c1ccc(-c2ccnn2C)s1";"URQXSAGNGHPINO-UHFFFAOYSA-N"
"CHEMBL4303254";"";"";"Small molecule";"";"465.51";"3";"5";"4.48";"96.33";"5";"2";"0";"6";"N";"0.44";"11.73";"None";"4.06";"4.06";"4";"MOL";"-1";"33";"8";"2";"0";"465.1271";"-2.21";"NEUTRAL";"C23H20FN5O3S";"CN(c1ccc(NC(=O)Nc2ccccc2)cc1)S(=O)(=O)c1cnn(-c2ccc(F)cc2)c1";"NSLIQOPYDUKWTA-UHFFFAOYSA-N"
"CHEMBL3115057";"";"";"Small molecule";"";"362.77";"1";"1";"1.31";"106.34";"6";"2";"0";"1";"N";"0.74";"3.18";"0.36";"1.63";"-1.82";"2";"MOL";"-1";"25";"8";"2";"0";"362.0782";"0.24";"ACID";"C16H15ClN4O4";"O=C1N[C@H](C(=O)O)Cn2cc(nn2)C/C=C/COc2ccc(Cl)c1c2";"PIRIIWBJGLBSQS-YUKKFKLSSA-N"
"CHEMBL3115059";"";"";"Small molecule";"";"362.77";"1";"1";"1.31";"106.34";"6";"2";"0";"1";"N";"0.74";"3.20";"0.38";"1.63";"-1.82";"2";"MOL";"-1";"25";"8";"2";"0";"362.0782";"0.28";"ACID";"C16H15ClN4O4";"O=C1N[C@H](C(=O)O)Cc2cn(nn2)C/C=C/COc2ccc(Cl)c1c2";"FCYAEWBZIOBHAX-YUKKFKLSSA-N"
"CHEMBL3115060";"";"";"Small molecule";"";"364.79";"1";"1";"1.53";"106.34";"6";"2";"0";"1";"N";"0.79";"3.23";"0.32";"1.68";"-1.76";"2";"MOL";"-1";"25";"8";"2";"0";"364.0938";"-0.03";"ACID";"C16H17ClN4O4";"O=C1N[C@H](C(=O)O)Cc2cn(nn2)CCCCOc2ccc(Cl)c1c2";"DVUDJTXPOUYIBT-AWEZNQCLSA-N"
