"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL238779";"";"";"Small molecule";"";"524.60";"6";"8";"2.06";"144.91";"5";"4";"1";"9";"N";"0.34";"3.31";"None";"1.85";"-1.57";"3";"MOL";"-1";"37";"10";"4";"1";"524.1730";"-1.24";"ACID";"C26H28N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc2ccccc2c1)C(=O)O";"WQVOUYNTLLCWOA-GOTSBHOMSA-N"
"CHEMBL429088";"";"";"Small molecule";"";"474.54";"6";"8";"0.91";"144.91";"5";"4";"0";"9";"N";"0.43";"3.25";"None";"0.87";"-2.57";"2";"MOL";"-1";"33";"10";"4";"0";"474.1573";"-1.33";"ACID";"C22H26N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1)C(=O)O";"ZXRLVUCOFJPEID-OALUTQOASA-N"
"CHEMBL393213";"";"";"Small molecule";"";"543.43";"6";"8";"2.22";"144.91";"5";"4";"1";"9";"N";"0.38";"3.11";"None";"2.07";"-1.39";"2";"MOL";"-1";"35";"10";"4";"1";"542.0794";"-1.38";"ACID";"C22H24Cl2N4O6S";"O=C(NCc1ccccc1)NC[C@H](NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1)C(=O)O";"NYGQATJDYMZDLT-OALUTQOASA-N"
"CHEMBL401237";"";"";"Small molecule";"";"489.55";"6";"8";"0.49";"170.93";"6";"5";"0";"9";"N";"0.32";"3.25";"4.33";"-1.09";"-3.36";"2";"MOL";"-1";"34";"11";"6";"2";"489.1682";"-1.29";"ACID";"C22H27N5O6S";"Nc1ccc(CNC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"QKMRLEQVMNWNFD-OALUTQOASA-N"
"CHEMBL391118";"";"";"Small molecule";"";"502.59";"6";"8";"1.53";"144.91";"5";"4";"1";"9";"N";"0.41";"3.28";"None";"1.89";"-1.54";"2";"MOL";"-1";"35";"10";"4";"1";"502.1886";"-1.24";"ACID";"C24H30N4O6S";"Cc1cc(C)cc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc2ccccc2)C(=O)O)c1";"ACPGEFYNFSMQSQ-SFTDATJTSA-N"
"CHEMBL3115061";"";"";"Small molecule";"";"398.25";"16";"23";"1.91";"93.45";"5";"2";"0";"1";"N";"0.76";"3.34";"6.34";"0.40";"-0.66";"2";"MOL";"-1";"25";"7";"2";"0";"361.0829";"0.51";"ACID";"C17H17Cl2N3O4";"Cl.O=C1N[C@H](C(=O)O)Cc2cn(cn2)C/C=C/COc2ccc(Cl)c1c2";"HTGQYRRHOSKREA-NLWFPOLBSA-N"
