"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4082979";"";"";"Small molecule";"";"1241.20";"2";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1240.0068";"None";"None";"C45H32N10O21S6";"O=C(Nc1ccc2c(O)c(/N=N/c3ccc(/N=N\c4ccc(S(=O)(=O)O)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)c(/N=N/c3ccc(/N=N\c4ccc(S(=O)(=O)O)cc4)cc3S(=O)(=O)O)c(S(=O)(=O)O)cc2c1";"IUNAENBIEJRAKZ-ZEHRKUMYSA-N"
"CHEMBL4099316";"";"";"Small molecule";"";"537.60";"4";"5";"5.84";"138.59";"5";"4";"2";"6";"N";"0.16";"-1.78";"2.91";"4.92";"2.77";"5";"MOL";"-1";"39";"8";"5";"2";"537.1358";"-0.79";"ACID";"C30H23N3O5S";"Nc1ccc(C(=O)Nc2ccc(-c3ccc(C(=O)Nc4cccc5cccc(S(=O)(=O)O)c45)cc3)cc2)cc1";"VDYBAGIVJNSWIL-UHFFFAOYSA-N"
"CHEMBL4082862";"";"";"Small molecule";"";"491.48";"3";"4";"4.50";"155.71";"6";"3";"0";"6";"N";"0.20";"-1.92";"None";"4.27";"1.89";"4";"MOL";"-1";"35";"10";"3";"0";"491.0787";"-1.15";"ACID";"C24H17N3O7S";"O=C(Nc1ccc(C(=O)Nc2cccc3cccc(S(=O)(=O)O)c23)cc1)c1ccc([N+](=O)[O-])cc1";"HFIJCWCLEQOFQY-UHFFFAOYSA-N"
"CHEMBL4080373";"";"";"Small molecule";"";"580.62";"7";"19";"6.04";"138.87";"6";"3";"2";"7";"N";"0.16";"-1.78";"None";"5.98";"3.60";"5";"MOL";"-1";"42";"9";"3";"2";"580.1304";"-0.73";"ACID";"C32H24N2O7S";"COC(=O)c1ccc(C(=O)Nc2ccc(-c3ccc(C(=O)Nc4cccc5cccc(S(=O)(=O)O)c45)cc3)cc2)cc1";"BZAWLSZPOBGURT-UHFFFAOYSA-N"
"CHEMBL4090673";"";"";"Small molecule";"";"531.52";"5";"14";"6.62";"138.64";"5";"3";"2";"7";"N";"0.16";"3.72";"None";"6.39";"3.09";"5";"MOL";"-1";"40";"9";"3";"2";"531.1430";"-0.99";"ACID";"C31H21N3O6";"O=C(Nc1ccc(-c2ccc(C(=O)Nc3ccc(C(=O)O)c4ccccc34)cc2)cc1)c1ccc([N+](=O)[O-])cc1";"LZHHABGKCSZVBE-UHFFFAOYSA-N"
"CHEMBL4060985";"";"";"Small molecule";"";"567.58";"6";"15";"6.17";"155.71";"6";"3";"2";"7";"N";"0.12";"-1.78";"None";"5.91";"3.54";"5";"MOL";"-1";"41";"10";"3";"2";"567.1100";"-1.02";"ACID";"C30H21N3O7S";"O=C(Nc1ccc(-c2ccc(C(=O)Nc3cccc4cccc(S(=O)(=O)O)c34)cc2)cc1)c1ccc([N+](=O)[O-])cc1";"XCTCVKFDAODCNM-UHFFFAOYSA-N"
