"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4787559";"";"";"Unknown";"";"733.78";"6";"6";"-0.46";"297.79";"8";"11";"2";"11";"N";"0.07";"3.70";"11.79";"-2.78";"-5.56";"3";"MOL";"-1";"53";"18";"12";"3";"733.3184";"0.87";"ZWITTERION";"C35H43N9O9";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"ZJLJEWROVSZOMN-GIBNYFNHSA-N"
"CHEMBL4787900";"";"";"Unknown";"";"813.92";"6";"7";"2.74";"260.49";"7";"10";"2";"10";"N";"0.04";"3.98";"12.14";"0.15";"0.15";"6";"MOL";"-1";"60";"16";"11";"3";"813.3598";"0.82";"ZWITTERION";"C44H47N9O7";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"PLRHJUOUNRRNJH-FWGRLYICSA-N"
"CHEMBL4800284";"";"";"Unknown";"";"407.51";"6";"6";"3.48";"82.53";"4";"2";"0";"7";"N";"0.73";"4.49";"7.52";"0.79";"0.56";"2";"MOL";"-1";"30";"6";"2";"0";"407.2209";"-0.40";"ACID";"C24H29N3O3";"O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1ccccc1";"FRVXYRMGRBRKHN-UTKZUKDTSA-N"
"CHEMBL3923968";"";"";"Small molecule";"";"584.70";"5";"6";"1.31";"169.30";"8";"5";"1";"13";"N";"0.22";"3.18";"11.24";"-0.12";"-0.12";"2";"MOL";"-1";"41";"12";"5";"2";"584.2417";"-1.10";"ZWITTERION";"C28H36N6O6S";"O=C(CCCCNC1=NCCN1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"NBFYQDLZBZGXPB-ZEQRLZLVSA-N"
"CHEMBL244013";"";"";"Small molecule";"";"584.81";"8";"10";"1.31";"192.61";"9";"8";"2";"8";"N";"0.23";"3.18";"8.32";"-0.77";"-1.18";"2";"MOL";"-1";"36";"12";"8";"3";"583.0469";"-0.41";"ACID";"C22H23BrClN5O7";"O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Br)c1O";"XROUNTCRSNMMAO-KRWDZBQOSA-N"
"CHEMBL4250148";"";"";"Small molecule";"";"487.65";"8";"13";"4.66";"83.28";"6";"2";"0";"9";"N";"0.46";"4.13";"10.39";"1.45";"1.22";"3";"MOL";"-1";"36";"7";"2";"0";"487.2947";"-0.49";"ZWITTERION";"C29H37N5O2";"Cc1cnn(C)c1-c1cccc([C@H](CC(=O)O)CN2CC[C@@H](CCc3ccc4c(n3)NCCC4)C2)c1";"JXJGHJUDGYCRBL-PXDATVDWSA-N"
"CHEMBL4242732";"";"";"Small molecule";"";"493.65";"7";"9";"4.51";"83.92";"6";"2";"0";"10";"N";"0.50";"3.93";"9.99";"0.73";"0.52";"2";"MOL";"-1";"36";"7";"2";"0";"493.2941";"-0.17";"ZWITTERION";"C29H39N3O4";"O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(OC2CCOCC2)c1";"SRAAZWOKIPPIDS-ZJSXRUAMSA-N"
"CHEMBL4241824";"";"";"Small molecule";"";"487.65";"14";"103";"4.76";"83.28";"6";"2";"0";"9";"N";"0.45";"4.02";"10.26";"1.35";"1.13";"3";"MOL";"-1";"36";"7";"2";"0";"487.2947";"-1.00";"ZWITTERION";"C29H37N5O2";"Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1";"ZMXBIIQMSGOIRZ-RCZVLFRGSA-N"
"CHEMBL4455010";"";"";"Unknown";"";"839.95";"3";"3";"-2.30";"314.42";"10";"10";"2";"9";"N";"0.07";"4.04";"11.68";"-4.89";"-4.89";"1";"MOL";"-1";"60";"21";"11";"3";"839.4290";"0.84";"ZWITTERION";"C39H57N11O10";"CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](c2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C1=O";"ZTDBHWGOQHAIQU-WDOFQDPWSA-N"
"CHEMBL3905970";"";"";"Small molecule";"";"579.68";"5";"6";"2.88";"157.80";"7";"4";"1";"13";"N";"0.23";"3.18";"6.64";"0.81";"0.03";"3";"MOL";"-1";"41";"11";"4";"2";"579.2152";"-1.40";"ACID";"C29H33N5O6S";"O=C(CCCNc1ccccn1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"KNSPFVAZTITFFW-DQEYMECFSA-N"
"CHEMBL4249172";"";"";"Small molecule";"";"479.62";"7";"9";"4.12";"83.92";"6";"2";"0";"10";"N";"0.53";"3.88";"9.98";"0.67";"0.46";"2";"MOL";"-1";"35";"7";"2";"0";"479.2784";"-0.11";"ZWITTERION";"C28H37N3O4";"O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(O[C@H]2CCOC2)c1";"RZAGOFCCJINLJO-WIOYSNFSSA-N"
"CHEMBL3893700";"";"";"Small molecule";"";"578.65";"5";"6";"2.21";"194.78";"6";"6";"2";"10";"N";"0.16";"3.17";"8.82";"0.66";"0.65";"3";"MOL";"-1";"41";"12";"7";"3";"578.1948";"-1.20";"ZWITTERION";"C28H30N6O6S";"N=C(N)Nc1cccc(C(=O)Nc2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)C(=O)O)cc2)c1";"KXYAXQVLPNBUFO-ZEQRLZLVSA-N"
"CHEMBL4448207";"";"";"Unknown";"";"496.63";"5";"5";"3.88";"77.93";"6";"2";"0";"9";"N";"0.55";"4.39";"8.72";"0.54";"0.42";"2";"MOL";"-1";"36";"7";"2";"0";"496.2850";"-0.43";"ZWITTERION";"C28H37FN4O3";"O=C(O)C[C@H](CN1CC[C@@](F)(CCc2ccc3c(n2)NCCC3)C1)c1cccc(N2CCOCC2)c1";"HKDUWRRLEDNORE-LXFBAYGMSA-N"
"CHEMBL4239085";"";"";"Small molecule";"";"479.62";"7";"17";"4.12";"83.92";"6";"2";"0";"10";"N";"0.53";"3.88";"9.98";"0.67";"0.46";"2";"MOL";"-1";"35";"7";"2";"0";"479.2784";"-0.11";"ZWITTERION";"C28H37N3O4";"O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(O[C@@H]2CCOC2)c1";"RZAGOFCCJINLJO-ROSOWXQZSA-N"
"CHEMBL4248589";"";"";"Small molecule";"";"518.70";"8";"13";"4.67";"77.93";"6";"2";"1";"10";"N";"0.47";"4.24";"10.23";"1.61";"1.38";"2";"MOL";"-1";"38";"7";"2";"1";"518.3257";"-0.40";"ZWITTERION";"C31H42N4O3";"O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cc(C2CC2)cc(N2CCOCC2)c1";"OGWLKQKCWNAXLA-AJTFRIOCSA-N"
"CHEMBL4245829";"";"";"Small molecule";"";"459.59";"8";"12";"4.14";"83.28";"6";"2";"0";"9";"N";"0.50";"4.03";"10.29";"0.70";"0.47";"3";"MOL";"-1";"34";"7";"2";"0";"459.2634";"-0.84";"ZWITTERION";"C27H33N5O2";"O=C(O)CC(CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(-n2ccnc2)c1";"NTOCWOHJTCYCPV-PPUHSXQSSA-N"
"CHEMBL3356178";"";"";"Small molecule";"";"450.37";"5";"5";"4.79";"91.32";"4";"3";"0";"9";"N";"0.48";"4.04";"7.52";"2.10";"1.88";"2";"MOL";"-1";"30";"6";"3";"0";"449.1273";"-0.45";"ACID";"C22H25Cl2N3O3";"O=C(O)CC(NC(=O)CCCCc1ccc2c(n1)NCCC2)c1ccc(Cl)c(Cl)c1";"CLKNROZINQMWHM-UHFFFAOYSA-N"
