DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D00012,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)NC(c1ccc(F)cc1)C1CCOCC1,469.532,3.728,5,1,65.38,6,5
D00013,O=C(c1cn(-c2ccc(Br)cc2)cn1)N1CCC2(CC1)N=C(C1CCC1)NC2=O,456.344,2.778,5,1,79.59,3,5
D00014,NC1CCN(C(=O)c2ccccc2C(=O)N2CCC(NS(=O)(=O)c3cccc(C(=O)O)c3)CC2)CC1,514.604,1.702,6,3,150.11,6,4
D00015,COc1ccccc1CC1(C(=O)NCC2(Cc3cccnc3)CCNCC2)CCS(=O)(=O)CC1,485.65,2.167,6,2,97.39,8,4
D00016,NC1CCN(Cc2ccccc2C(=O)NC2CCN(C(=O)c3cccc(C(=O)O)c3)CC2)CC1,464.566,2.462,5,3,115.97,6,4
D00017,COc1ccc(C2(CC(=O)N3CCCn4c(-c5ccc(F)cc5)nnc43)CCOCC2)cc1,450.514,6.013,6,0,69.48,5,5
D00018,NC1CCN(Cc2cccc(C(=O)N3CCC4(CC3)C(=O)Nc3cc(Br)ccc34)c2)CC1,497.437,3.042,4,2,78.67,3,5
D00019,O=C(N1CCC2(CC1)C(=O)Nc1c(Br)cccc12)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,549.462,3.57,4,1,83.55,3,5
D0001A,O=C(CC1(c2cccc(Br)c2)CCNCC1)N1CC[C@H](Nc2ncnc3ccccc23)C1,494.437,3.549,5,2,70.15,5,5
D0001B,COc1ccccc1CC1(C(=O)Nc2c(F)cccc2N2CCC(C(=O)O)CC2)CCOCC1,470.541,3.259,5,2,88.1,7,4
D0001C,Cc1ccc(C2(CC(=O)Nc3cc(F)ccc3OCC3CCN(C)CC3)CCNCC2)cc1,453.602,3.846,4,2,53.6,7,4
