DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D0003E,,466.513,2.16,6,1,93.12,5,5
D0003F,,465.569,2.29,4,2,70.67,4,5
D0003G,,500.621,1.906,6,3,133.04,7,4
D0003H,,467.522,2.155,6,2,118.06,7,4
D0003I,,473.555,1.122,7,1,113.96,4,5
D0003J,,548.503,3.162,4,1,78.95,4,5
D0003K,,483.45,6.301,2,2,58.2,6,4
D0003L,,472.423,4.531,3,1,47.56,6,4
D0003M,,515.492,4.277,4,2,59.59,8,4
D0003N,,489.885,6.274,2,1,32.34,7,4
D0003O,,452.53,4.981,6,1,77.75,6,5
D0003P,,471.569,4.086,5,1,66.02,9,4
D0003Q,,472.492,4.732,7,1,86.98,6,5
D0003R,,455.53,2.985,5,1,80.76,7,4
D0003S,,514.688,3.086,6,1,98.93,8,4
D0003T,,453.543,1.686,7,3,114.47,8,4
D0003U,,461.566,1.2,6,2,95.92,5,5
D0003V,,455.584,1.221,5,2,98.98,4,5
D0003W,,516.867,3.895,3,2,61.44,3,5
D0003X,,504.44,4.719,3,1,47.56,7,4
D0003Y,,452.559,3.966,7,1,106.58,3,5
D0003Z,,456.558,3.23,5,2,68.82,8,4
D00040,,474.583,1.21,7,3,118.65,8,4
D00041,,491.6,4.353,4,1,72.47,7,4
D00042,,466.401,4.016,5,1,79.37,5,3
D00043,,453.974,5.073,6,2,80.55,5,5
D00044,,467.516,3.236,5,0,56.59,3,6
D00045,,467.516,3.236,5,0,56.59,3,6
D00046,,453.974,5.073,6,2,80.55,5,5
D00047,,460.401,4.485,3,0,38.77,3,5
D00048,,485.61,1.313,6,4,133.63,6,4
D00049,,485.47,2.914,4,3,66.05,7,4
D0004A,,478.014,2.951,6,0,93.37,5,5
D0004B,,453.558,4.039,5,1,65.38,8,4
D0004C,,460.538,2.148,7,1,101.19,3,5
D0004D,,540.107,3.21,6,3,121.44,7,4
D0004E,,485.65,2.008,6,1,102.59,7,4
D0004F,,458.606,4.558,5,0,50.6,5,5
D0004G,,519.107,3.793,5,1,89.7,7,4
D0004H,,515.035,6.414,7,0,94.39,5,5
D0004I,,495.023,3.074,5,2,83.03,5,5
D0004J,,452.574,3.165,3,3,73.47,5,4
D0004K,,457.6,2.095,6,4,116.56,6,4
D0004L,,463.553,3.331,4,1,71,4,5
D0004M,,507.984,5.333,2,2,61.44,5,4
D0004N,,486.598,1.097,6,1,107.85,3,5
D0004O,,458.534,2.647,7,1,85.81,8,4
D0004P,,514.604,1.95,6,4,144.91,7,4
D0004Q,,461.984,4.982,3,2,54.02,6,4
D0004R,,478.543,4.296,4,0,58.44,5,5
D0004S,,470.953,3.263,5,1,77.1,4,5
D0004T,,458.021,4.151,3,3,53.16,7,4
D0004U,,483.534,5.522,4,0,55.32,5,5
D0004V,,531.096,4.695,4,0,42.01,6,6
D0004W,,529.479,3.28,4,3,82.7,6,4
D0004X,,456.03,3.101,4,2,67.59,6,4
D0004Y,,473.535,5.104,3,0,38.77,4,5
D0004Z,,502.552,5.408,2,0,40.62,5,5
D00050,,453.402,4.519,3,2,79.03,5,4
D00051,,481.593,2.593,5,2,89.13,7,4
D00052,,460.449,4.439,3,3,53.16,6,4
D00053,,475.586,2.105,5,3,96.53,7,4
D00054,,457.502,2.699,6,2,100.99,7,4
D00055,,475.402,5.423,3,1,41.57,6,4
D00056,,470.595,3.575,7,1,102.66,5,4
D00057,,474.579,2.602,7,1,103.82,7,4
D00058,,469.988,3.691,3,1,52.65,4,5
D00059,,473.415,3.249,5,1,57.7,5,4
D0005A,,482.624,5.008,4,0,42.01,6,6
D0005B,,474.554,3.675,4,2,103.78,7,4
D0005C,,479.514,5.459,3,1,47.56,7,4
D0005D,,474.554,3.675,4,2,103.78,7,4
D0005E,,457.412,4.253,3,2,50.36,6,4
D0005F,,454.502,2.307,6,0,84.86,5,5
D0005G,,473.555,1.57,7,1,113.84,4,5
D0005H,,460.54,4.855,3,2,50.36,6,4
D0005I,,469.567,1.017,5,2,116.05,3,5
D0005J,,467.013,3.019,3,2,64.68,4,5
D0005K,,456.344,2.353,5,1,79.59,4,5
D0005L,,521.054,4.192,4,1,83.55,6,4
D0005M,,483.59,3.707,7,1,99.52,7,4
D0005N,,529.634,3.276,7,1,99.52,7,5
D0005O,,503.412,5.105,3,2,67.43,5,4
D0005P,,515.035,6.414,7,0,94.39,5,5
D0005Q,,484.999,4.498,3,1,58.64,5,5
D0005R,,476.639,2.967,5,1,92.78,6,4
D0005S,,470.535,5.052,2,0,40.62,4,5
D0005T,,517.623,2.779,5,2,104.81,6,4
D0005U,,450.518,1.669,6,1,81.14,3,5
D0005V,,474.605,3.956,6,1,76.58,7,5
D0005W,,489.613,2.445,6,2,87.74,7,4
D0005X,,514.619,3.12,5,0,83.99,5,5
D0005Y,,502.608,3.29,5,1,92.78,6,4
D0005Z,,494.542,3.099,5,0,67.67,4,6
D00060,,472.551,5.417,2,1,49.41,6,4
D00061,,464.541,3.984,6,1,76.58,6,5
D00062,,461.499,5.35,2,0,29.54,3,5
D00063,,473.52,4.277,4,2,79.9,7,4
D00064,,523.468,4.019,4,1,66.48,6,4
D00065,,534.476,3.661,4,1,86.79,5,4
D00066,,450.558,2.428,4,2,74.33,5,5
D00067,,462.554,4.049,6,2,100.86,4,5
D00068,,531.096,4.695,4,0,42.01,6,6
D00069,,512.569,4.827,3,1,66.48,6,4
D0006A,,484.622,2.344,5,2,90.98,4,5
D0006B,,479.556,3.271,5,2,88.49,6,5
D0006C,,454.59,2.482,5,3,65.63,8,4
D0006D,,517.851,4.091,3,1,58.64,3,5
D0006E,,493,3.639,4,1,83.55,5,4
D0006F,,478.549,1.914,7,1,102.35,6,5
D0006G,,461.499,5.35,2,0,29.54,3,5
D0006H,,464.614,3.5,5,2,90.46,4,5
D0006I,,473.595,2.449,6,1,105.14,5,5
D0006J,,482.575,3.311,5,1,73.38,6,5
D0006K,,461.585,4.2,5,2,70.15,6,5
D0006L,,514.649,5.08,6,1,67.98,8,6
D0006M,,488.049,4.017,4,0,63.68,3,5
D0006N,,486.584,4.128,3,1,70.24,4,5
D0006O,,494.542,3.099,5,0,67.67,4,6
D0006P,,464.002,5.215,3,1,63.24,6,4
D0006Q,,451.567,2.678,4,2,79.9,6,4
D0006R,,452.551,3.611,5,2,88.1,8,4
D0006S,,454.408,5.434,2,0,29.54,3,5
D0006T,,463.513,2.034,6,0,80.04,3,6
D0006U,,467.545,3.53,7,0,86.28,5,6
D0006V,,535.663,2.465,5,1,103.86,4,5
D0006W,,475.942,5.93,3,1,46.92,7,4
D0006X,,502.583,3.366,4,0,74.76,4,5
D0006Y,,470.057,4.014,4,2,53.6,8,4
D0006Z,,480.515,2.666,5,1,76.46,3,6
D00070,,458.599,2.861,4,1,80.47,5,4
D00071,,497.437,4.413,5,2,68.18,7,4
D00072,,494.542,2.405,5,1,76.46,3,6
D00073,,457.416,4.209,4,2,57.26,5,4
D00074,,463.578,2.508,4,1,71.11,5,5
D00075,,511.644,2.448,5,1,96.02,5,5
D00076,,487.579,3.935,5,0,69.64,4,6
D00077,,502.583,2.672,4,1,83.55,3,5
D00078,,455.509,2.666,6,2,71.42,5,5
D00079,,480.58,3.375,4,0,59.08,6,5
D0007A,,476.558,5.673,2,2,41.13,7,4
D0007B,,461.61,2.68,4,3,90.7,5,5
D0007C,,463.538,4.153,7,2,109.06,6,5
D0007D,,552.118,2.926,5,1,103.86,4,5
D0007E,,464.959,5.69,2,1,32.34,6,4
D0007F,,456.384,4.245,2,2,61.44,6,4
D0007G,,450.554,3.702,3,0,49.85,4,5
D0007H,,460.449,4.625,3,2,58.36,5,4
D0007I,,451.611,3.211,5,2,76.82,7,4
