Target Pref Name_ppi,Canonical SMILES(RDKit),Target Pref Name_main
Integrins,CCOC(=O)CNC(=O)C(Cc1ccccc1)C(=O)Nc1ccc2c(c1)OCC(=O)N2Cc1ccc(C(=N)N)cc1,
Integrins,N=C(N)Nc1ccc(-c2ccc(C(=O)NCC(NS(=O)(=O)c3ccccc3)C(=O)O)s2)cc1,
Integrins,N=C(N)Nc1ccc(-c2ccc(C(=O)NCC(NS(=O)(=O)c3ccccc3)C(=O)O)s2)cc1,
Integrins,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3COC3CCC(C(=O)O)CC3)cc2o1,
Integrins,Cc1ccccc1Nc1nc2ccc(CC(=O)N3C[C@@H](F)C[C@H]3CO[C@H]3CC[C@@H](C(=O)O)CC3)cc2o1,
Integrins,N=C(N)NCCCC1NC(=O)CC2NC(=O)C(CNC(=O)C(CC(=O)O)NC(=O)CNC1=O)N(Cc1ccc(CN)cc1)C2=O,
Integrins,N=C(N)NCCCC1NC(=O)CC2NC(=O)C(CNC(=O)C(CC(=O)O)NC(=O)CNC1=O)N(Cc1ccc(CN)cc1)C2=O,
Integrins,Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(N3CCN(C)CC3)cc2)C(=O)O)cc1,
Integrins,CCOC(=O)C1CCN(c2ccc(N3CC(CNC(=O)c4cnc(N)s4)OC3=O)cc2)CC1,
Integrins,CCOC(=O)C1CCN(c2ccc(N3CC(CNC(=O)c4cnc(N)s4)OC3=O)cc2)CC1,
Integrins,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1cc(Cl)nc(Cl)c1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C([O-])C(F)(F)F.[NH3+]Cc1ccc(NC(=O)N2C(=O)CC2CC(=O)NCC(=O)O)cc1,
Integrins,O=C(O)CN1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O,
Integrins,O=C(O)CN1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O,
Integrins,CC(C)(C)OC(=O)[C@@H]1C[C@H](CC(=O)O)[C@H]2CC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N12,
Integrins,O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,
Integrins,Cc1cc(NC(=O)Nc2ccccc2C)c(Cl)cc1CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(C(=O)O)cc1,
Integrins,CN(C)C(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,
Integrins,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(F)cccc1F,
