DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D009KF,O=C(NCC1(CC2CCC2)CCOCC1)C1(c2cccc(Br)c2)CCOCC1,450.417,5.249,3,1,47.56,6,4
D009I7,O=C(NC1(Cc2ccc(F)cc2)CCC(F)(F)CC1)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,511.581,5.636,3,1,63.24,6,4
D009I8,O=C(NC1(c2ccc(F)cc2)CCC(F)(F)CC1)C1(c2cccc(Cl)c2)CCNCC1,450.932,5.823,2,2,41.13,4,4
D009I9,O=C(N1CCCn2c(-c3ccccc3F)nnc21)C1(Cc2ccccc2)CCC(F)(F)CC1,454.496,7.885,4,0,51.02,4,5
D009IA,CN1CCN(c2cccc(NC(=O)C3(Cc4ccccc4Br)CCOCC3)c2)CC1,472.427,3.708,4,1,44.81,5,4
D009IB,COc1cccc(CC2(C(=O)NC3(c4ccccc4C)CCC(F)(F)CC3)CCOCC2)c1,457.561,5.327,3,1,47.56,6,4
D009IC,O=C(Nc1cncc(N2CCOCC2)c1)C1(Cc2ccccc2Cl)CCS(=O)(=O)CC1,463.987,2.177,6,1,88.6,5,4
D009ID,COc1ccccc1-c1nnc2n1CCCN2C(=O)C1(Cc2cccc(Br)c2)CCOCC1,511.42,6.65,6,0,69.48,5,5
D009IE,COc1cccc(C2(NC(=O)C3(Cc4cccc(F)c4)CCNCC3)CCC(F)(F)CC2)c1,460.54,4.855,3,2,50.36,6,4
D009IF,O=C(NC1(c2ccc(F)cc2)CCC(F)(F)CC1)C1(Cc2cccc(F)c2)CCS(=O)(=O)CC1,497.554,5.237,3,1,63.24,5,4
D009IG,O=C(NC1(c2cccc(Cl)c2)CCC(F)(F)CC1)C1(Cc2ccc(Cl)cc2)CCOCC1,482.398,6.219,2,1,38.33,5,4
D009IH,Cc1cc(NC(=O)C2(Cc3ccccc3F)CCC(F)(F)CC2)n(CC2CCN(Cc3ccccc3)CC2)n1,538.658,6.435,4,1,50.16,8,5
D009II,COc1cccc(CC2(C(=O)NC3(c4cccc(F)c4)CCC(F)(F)CC3)CCOCC2)c1,461.524,5.051,3,1,47.56,6,4
D009IJ,O=C(NC1(c2cccc(F)c2)CCC(F)(F)CC1)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,497.554,5.237,3,1,63.24,5,4
D009IK,O=C(O)c1ccc(CNC2CCN(C(=O)C3(c4ccccc4Cl)CCNCC3)CC2)cc1,455.986,3.683,4,3,81.67,6,4
D009IL,Cc1nn(Cc2cccc(F)c2)c(C)c1C(=O)NC1CCN(Cc2c(F)cc(F)cc2F)CC1,474.502,4.797,4,1,50.16,6,4
D009IM,NC1CCN(c2cccc(F)c2NC(=O)C2(Cc3ccc(F)cc3)CCC(F)(F)CC2)CC1,463.519,5.143,3,2,58.36,5,4
D009IN,O=C(Nc1cccnc1OC1CCNCC1)c1cccc(S(=O)(=O)NC2CCNCC2)c1,459.572,1.547,7,4,121.45,7,4
D009IO,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)c3ccncc3OCC3CC3)CC2)cc1,459.524,1.789,6,2,125.9,8,4
D009IP,Cc1ccccc1C1(NC(=O)c2cnc3c(C4CCOCC4)cnn3c2)CCC(F)(F)CC1,454.521,4.181,5,1,68.52,4,5
D009IQ,Cc1cc(NC(=O)C2(CC3CC3)CCC(F)(F)CC2)n(Cc2cccc(Br)c2)n1,466.37,6.342,3,1,46.92,6,4
D009IR,COc1ccc(CC2(C(=O)NCc3cncn3Cc3ccc(F)cc3)CCS(=O)(=O)CC2)cc1,485.581,3.062,6,1,90.29,8,4
D009IS,O=C(Nc1ccnn1Cc1cccc(Br)c1)C1(CC2CC2)CCC(F)(F)CC1,452.343,6.161,3,1,46.92,6,4
D009IT,O=C(Nc1cccnc1OC1CCNCC1)C1(Cc2ccc(Cl)cc2)CCS(=O)(=O)CC1,478.014,3.048,6,2,97.39,6,4
D009IU,CC1(C)CNC(=O)c2ccc(NC(=O)C3(Cc4ccc(F)cc4)CCS(=O)(=O)CC3)cc21,458.555,2.784,4,2,92.34,4,4
D009KF,O=C(NCC1(CC2CCC2)CCOCC1)C1(c2cccc(Br)c2)CCOCC1,450.417,5.249,3,1,47.56,6,4
D009I7,O=C(NC1(Cc2ccc(F)cc2)CCC(F)(F)CC1)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,511.581,5.636,3,1,63.24,6,4
D009I8,O=C(NC1(c2ccc(F)cc2)CCC(F)(F)CC1)C1(c2cccc(Cl)c2)CCNCC1,450.932,5.823,2,2,41.13,4,4
D009I9,O=C(N1CCCn2c(-c3ccccc3F)nnc21)C1(Cc2ccccc2)CCC(F)(F)CC1,454.496,7.885,4,0,51.02,4,5
D009IA,CN1CCN(c2cccc(NC(=O)C3(Cc4ccccc4Br)CCOCC3)c2)CC1,472.427,3.708,4,1,44.81,5,4
D009IB,COc1cccc(CC2(C(=O)NC3(c4ccccc4C)CCC(F)(F)CC3)CCOCC2)c1,457.561,5.327,3,1,47.56,6,4
D009IC,O=C(Nc1cncc(N2CCOCC2)c1)C1(Cc2ccccc2Cl)CCS(=O)(=O)CC1,463.987,2.177,6,1,88.6,5,4
D009ID,COc1ccccc1-c1nnc2n1CCCN2C(=O)C1(Cc2cccc(Br)c2)CCOCC1,511.42,6.65,6,0,69.48,5,5
D009IE,COc1cccc(C2(NC(=O)C3(Cc4cccc(F)c4)CCNCC3)CCC(F)(F)CC2)c1,460.54,4.855,3,2,50.36,6,4
D009IF,O=C(NC1(c2ccc(F)cc2)CCC(F)(F)CC1)C1(Cc2cccc(F)c2)CCS(=O)(=O)CC1,497.554,5.237,3,1,63.24,5,4
D009IG,O=C(NC1(c2cccc(Cl)c2)CCC(F)(F)CC1)C1(Cc2ccc(Cl)cc2)CCOCC1,482.398,6.219,2,1,38.33,5,4
D009IH,Cc1cc(NC(=O)C2(Cc3ccccc3F)CCC(F)(F)CC2)n(CC2CCN(Cc3ccccc3)CC2)n1,538.658,6.435,4,1,50.16,8,5
D009II,COc1cccc(CC2(C(=O)NC3(c4cccc(F)c4)CCC(F)(F)CC3)CCOCC2)c1,461.524,5.051,3,1,47.56,6,4
