"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL141005";"";"";"Protein";"";"674.67";"4";"5";"-6.86";"412.22";"11";"13";"3";"23";"N";"0.03";"3.17";"11.21";"-13.12";"-13.24";"0";"BOTH";"-1";"47";"23";"18";"3";"674.3096";"0.37";"ZWITTERION";"C24H42N12O11";"NC(N)=NCCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)O";"FLHCHHMYNKVLLP-XUXIUFHCSA-N"
"CHEMBL4068971";"";"";"Small molecule";"";"1482.54";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1481.6971";"None";"None";"C58H95N23O23";"CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C1=O";"FJIFKZZFHVQDLX-JGBICBFTSA-N"
"CHEMBL4079738";"";"";"Small molecule";"";"1211.21";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1210.5327";"None";"None";"C47H74N18O20";"CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C1=O";"KOXJJORRJNERRP-XCZOQMBCSA-N"
"CHEMBL4085518";"";"";"Small molecule";"";"1544.56";"4";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1543.6975";"None";"None";"C59H97N23O26";"CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O";"OTPJHCLEDMTCQA-NMYCIVIXSA-N"
"CHEMBL4097763";"";"";"Small molecule";"";"1325.36";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1324.6120";"None";"None";"C52H84N20O21";"CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C1=O";"CPZCKVXGPOOWOC-NCZCZPGPSA-N"
"CHEMBL4090048";"";"";"Small molecule";"";"1387.39";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1386.6124";"None";"None";"C53H86N20O24";"CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O";"YOKQFDSBCXZBKL-OBMHQVCPSA-N"
"CHEMBL4067904";"";"";"Small molecule";"";"1701.73";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1700.7826";"None";"None";"C65H108N26O28";"CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O";"ICMJQIXGFJMTDS-QIDPRFCVSA-N"
"CHEMBL429876";"CILENGITIDE";"CILENGITIDE|EMD 121974|EMD-12192|EMD-121974";"Protein";"3.0";"588.67";"14";"107";"-1.97";"235.91";"7";"8";"2";"9";"N";"0.09";"3.98";"12.02";"-3.68";"-3.68";"1";"BOTH";"0";"42";"15";"9";"3";"588.3020";"1.05";"ZWITTERION";"C27H40N8O7";"CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C";"AMLYAMJWYAIXIA-VWNVYAMZSA-N"
