"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL293827";"";"";"Small molecule";"";"403.23";"1";"1";"3.06";"102.42";"3";"4";"0";"5";"N";"0.53";"3.06";"None";"3.96";"0.34";"3";"MOL";"-1";"25";"6";"4";"0";"402.0215";"-0.37";"ACID";"C18H15BrN2O4";"O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)c1cc(Br)ccc1O";"HYTMKGMJEFNTTR-HNNXBMFYSA-N"
"CHEMBL362792";"";"";"Small molecule";"";"451.15";"1";"1";"5.59";"38.13";"3";"0";"1";"3";"N";"0.52";"None";"2.99";"5.86";"5.86";"3";"MOL";"-1";"26";"4";"0";"1";"448.9697";"-0.79";"NEUTRAL";"C19H14BrCl2N3O";"C[C@]1(Cc2ccc(Br)cc2)C(=O)N(c2cc(Cl)cc(Cl)c2)c2nccn21";"TZLWATKWJLUXTA-IBGZPJMESA-N"
"CHEMBL189124";"";"";"Small molecule";"";"451.15";"5";"6";"5.59";"38.13";"3";"0";"1";"3";"N";"0.52";"None";"2.99";"5.86";"5.86";"3";"MOL";"-1";"26";"4";"0";"1";"448.9697";"-0.79";"NEUTRAL";"C19H14BrCl2N3O";"C[C@@]1(Cc2ccc(Br)cc2)C(=O)N(c2cc(Cl)cc(Cl)c2)c2nccn21";"TZLWATKWJLUXTA-LJQANCHMSA-N"
"CHEMBL182589";"";"";"Small molecule";"";"500.59";"1";"2";"7.34";"53.43";"4";"1";"2";"6";"N";"0.38";"3.21";"7.37";"5.79";"5.48";"3";"MOL";"-1";"35";"4";"1";"2";"500.1745";"-0.96";"ACID";"C27H27F3N2O2S";"CC(C)c1ccccc1Sc1ccc(-c2ccnc(N3CCC(C(=O)O)CC3)c2)cc1C(F)(F)F";"BHEGQCULFWMOJE-UHFFFAOYSA-N"
"CHEMBL502756";"";"";"Small molecule";"";"617.61";"1";"1";"7.02";"76.07";"5";"1";"2";"8";"N";"0.25";"3.95";"None";"6.68";"3.49";"2";"MOL";"-1";"42";"6";"1";"2";"617.1671";"-0.68";"ACID";"C29H29F6NO5S";"O=C(/C=C/c1ccc(Sc2ccccc2OC[C@H]2CC[C@H](C(=O)O)CC2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1";"AXSOGTWJBSDWJQ-WDYYSVFXSA-N"
"CHEMBL19461";"";"";"Small molecule";"";"444.94";"1";"1";"3.92";"59.08";"5";"0";"0";"4";"N";"0.67";"None";"None";"3.27";"3.27";"2";"MOL";"-1";"30";"6";"0";"0";"444.0911";"-0.82";"NEUTRAL";"C22H21ClN2O4S";"CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCO4)c(Cl)c2)CC1";"FKFWCWLZUOSSNM-XVNBXDOJSA-N"
"CHEMBL19675";"";"";"Small molecule";"";"530.05";"1";"1";"3.42";"79.39";"6";"0";"1";"5";"N";"0.55";"12.74";"None";"2.49";"2.49";"2";"MOL";"-1";"36";"8";"0";"1";"529.1438";"-0.85";"NEUTRAL";"C26H28ClN3O5S";"CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCC(C(=O)N(C)C)O4)c(Cl)c2)CC1";"YZCNYQLRQDZAIE-WEVVVXLNSA-N"
"CHEMBL281334";"";"";"Small molecule";"";"491.40";"1";"1";"4.43";"89.53";"5";"2";"0";"4";"N";"0.53";"9.40";"3.14";"3.91";"3.91";"3";"MOL";"-1";"32";"7";"2";"0";"490.0633";"-0.87";"NEUTRAL";"C22H20Cl2N4O3S";"CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cc4[nH]c(O)nc4cc3Cl)c(Cl)c2)CC1";"MGQXQCUUTIULTG-HWKANZROSA-N"
"CHEMBL19465";"";"";"Small molecule";"";"497.06";"1";"1";"4.74";"59.65";"4";"1";"0";"6";"N";"0.50";"None";"8.91";"3.68";"2.16";"3";"MOL";"-1";"34";"6";"1";"0";"496.1700";"-0.98";"BASE";"C26H29ClN4O2S";"CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4[nH]cc(CN(C)C)c4c3)c(Cl)c2)CC1";"FLEDTAVZFHUYSW-WEVVVXLNSA-N"
"CHEMBL133411";"";"";"Small molecule";"";"425.43";"1";"1";"6.60";"32.34";"3";"1";"1";"10";"N";"0.47";"12.97";"10.23";"6.49";"3.74";"2";"MOL";"-1";"27";"3";"1";"1";"424.1143";"-1.80";"BASE";"C21H26Cl2N2OS";"CCCN(CCC)CCC(=O)Nc1ccccc1Sc1ccc(Cl)cc1Cl";"PQQFCUVJXVPTJB-UHFFFAOYSA-N"
"CHEMBL214529";"";"BMS-587101|BMS-688521";"Small molecule";"";"555.44";"16";"37";"5.06";"104.95";"6";"1";"2";"5";"N";"0.44";"2.82";"8.26";"2.09";"2.05";"3";"MOL";"-1";"37";"8";"1";"2";"554.0582";"-1.00";"ACID";"C26H20Cl2N4O4S";"CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(Cc1cc(C(=O)O)cs1)C[C@H]2c1ccc(C#N)cc1";"NXNKJLOEGWSJGI-BKMJKUGQSA-N"
