"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL570525";"";"";"Small molecule";"";"387.37";"1";"1";"2.85";"114.12";"7";"1";"0";"5";"N";"0.62";"3.90";"None";"1.98";"-1.23";"2";"MOL";"-1";"27";"8";"1";"0";"387.0413";"-1.34";"ACID";"C18H13NO7S";"COC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccc(C(=O)O)cc3)o2)C1=O";"XHMQLKBVYZMWMH-ZSOIEALJSA-N"
"CHEMBL571084";"";"";"Small molecule";"";"223.25";"1";"1";"2.25";"50.52";"4";"0";"0";"1";"N";"0.69";"None";"None";"1.33";"1.33";"1";"MOL";"-1";"15";"4";"0";"0";"223.0303";"-1.80";"NEUTRAL";"C10H9NO3S";"Cc1ccc(/C=C2\SC(=O)N(C)C2=O)o1";"GHFMOJFMEYICPB-YVMONPNESA-N"
"CHEMBL81782";"";"GNF-Pf-3148";"Small molecule";"";"492.45";"58";"122";"5.70";"7.12";"3";"0";"1";"4";"N";"0.55";"None";"None";"1.99";"1.99";"3";"MOL";"-1";"25";"2";"0";"1";"365.1141";"-1.08";"NEUTRAL";"C21H21IN2S2";"CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-]";"VZBILKJHDPEENF-UHFFFAOYSA-M"
"CHEMBL351547";"";"";"Small molecule";"";"497.40";"9";"11";"3.61";"95.94";"5";"2";"0";"8";"N";"0.58";"3.55";"None";"3.27";"-0.09";"2";"MOL";"-1";"32";"7";"2";"0";"496.0626";"-0.89";"ACID";"C22H22Cl2N2O5S";"CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O";"YBKFCWABWAQJTN-VQTJNVASSA-N"
"CHEMBL569155";"";"";"Small molecule";"";"415.42";"1";"1";"3.55";"114.12";"7";"1";"0";"6";"N";"0.56";"3.90";"None";"2.85";"-0.36";"2";"MOL";"-1";"29";"8";"1";"0";"415.0726";"-1.46";"ACID";"C20H17NO7S";"CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccc(C(=O)O)cc3C)o2)C1=O";"GOZGIDCOOCPNFX-SXGWCWSVSA-N"
"CHEMBL571876";"";"";"Small molecule";"";"416.29";"1";"1";"6.49";"50.52";"4";"0";"1";"3";"N";"0.46";"None";"None";"5.57";"5.57";"3";"MOL";"-1";"27";"4";"0";"1";"414.9837";"-1.80";"NEUTRAL";"C20H11Cl2NO3S";"O=C1S/C(=C\c2ccc(-c3ccc(Cl)cc3Cl)o2)C(=O)N1c1ccccc1";"KBOCYOQINQKXNY-WQRHYEAKSA-N"
"CHEMBL9453";"";"";"Small molecule";"";"410.42";"6";"10";"3.44";"80.04";"6";"2";"0";"6";"N";"0.61";"13.51";"0.86";"2.96";"2.96";"3";"MOL";"-1";"28";"6";"2";"0";"410.1024";"-2.18";"NEUTRAL";"C18H17F3N4O2S";"Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1";"HOFGTYCLOKDAES-UHFFFAOYSA-N"
"CHEMBL570061";"";"";"Small molecule";"";"458.32";"1";"1";"6.17";"67.59";"5";"0";"1";"5";"N";"0.34";"13.60";"None";"5.14";"5.14";"3";"MOL";"-1";"30";"5";"0";"1";"456.9942";"-1.74";"NEUTRAL";"C22H13Cl2NO4S";"O=C(CN1C(=O)S/C(=C\c2ccc(-c3ccc(Cl)cc3Cl)o2)C1=O)c1ccccc1";"FCQHZVZAUCIRIJ-JAIQZWGSSA-N"
"CHEMBL570523";"";"";"Small molecule";"";"357.39";"4";"5";"3.55";"76.82";"6";"0";"0";"5";"N";"0.60";"None";"None";"2.68";"2.68";"2";"MOL";"-1";"25";"6";"0";"0";"357.0671";"-1.64";"NEUTRAL";"C18H15NO5S";"CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccccc3)o2)C1=O";"YOWXHWODBIJUJD-GDNBJRDFSA-N"
"CHEMBL583892";"";"";"Small molecule";"";"450.31";"4";"5";"4.62";"76.82";"6";"0";"0";"5";"N";"0.49";"None";"None";"3.96";"3.96";"2";"MOL";"-1";"27";"6";"0";"0";"448.9933";"-1.76";"NEUTRAL";"C19H16BrNO5S";"CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccc(C)cc3Br)o2)C1=O";"MQNCXPOMDAPQOF-SXGWCWSVSA-N"
