"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2030958";"";"";"Small molecule";"";"502.40";"1";"2";"5.09";"100.55";"5";"3";"2";"12";"N";"0.30";"3.47";"6.64";"3.32";"2.53";"3";"MOL";"-1";"34";"7";"3";"2";"501.1222";"-0.94";"ACID";"C25H25Cl2N3O4";"O=C(N[C@@H](Cc1cccc(OCCCCNc2ccccn2)c1)C(=O)O)c1c(Cl)cccc1Cl";"ZAMWQLRLHFTKPL-NRFANRHFSA-N"
"CHEMBL4787559";"";"";"Unknown";"";"733.78";"6";"6";"-0.46";"297.79";"8";"11";"2";"11";"N";"0.07";"3.70";"11.79";"-2.78";"-5.56";"3";"MOL";"-1";"53";"18";"12";"3";"733.3184";"0.87";"ZWITTERION";"C35H43N9O9";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"ZJLJEWROVSZOMN-GIBNYFNHSA-N"
"CHEMBL4787900";"";"";"Unknown";"";"813.92";"6";"7";"2.74";"260.49";"7";"10";"2";"10";"N";"0.04";"3.98";"12.14";"0.15";"0.15";"6";"MOL";"-1";"60";"16";"11";"3";"813.3598";"0.82";"ZWITTERION";"C44H47N9O7";"CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O";"PLRHJUOUNRRNJH-FWGRLYICSA-N"
"CHEMBL4799980";"";"";"Unknown";"";"706.60";"2";"2";"-0.72";"251.70";"7";"9";"2";"9";"N";"0.09";"4.02";"11.90";"-2.81";"-2.81";"2";"MOL";"-1";"46";"16";"10";"3";"705.2234";"0.95";"ZWITTERION";"C29H40BrN9O7";"CC(C)[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3c(Br)cccc23)C(=O)N1C";"RTHTZKFWJRGDKZ-AZXNSQLWSA-N"
"CHEMBL2332835";"";"";"Protein";"";"558.60";"2";"2";"-2.33";"235.91";"7";"8";"2";"6";"N";"0.11";"3.54";"12.09";"-4.81";"-4.81";"1";"BOTH";"-1";"40";"15";"9";"3";"558.2550";"0.74";"ZWITTERION";"C25H34N8O7";"N=C(N)NCCC[C@@H]1NC(=O)CNC(=O)C[C@@H](C(=O)O)NC(=O)[C@@H](c2ccccc2)NC(=O)[C@H]2CCCN2C1=O";"WXSLOTVKKDWKQR-MIALQEHNSA-N"
"CHEMBL3923968";"";"";"Small molecule";"";"584.70";"5";"6";"1.31";"169.30";"8";"5";"1";"13";"N";"0.22";"3.18";"11.24";"-0.12";"-0.12";"2";"MOL";"-1";"41";"12";"5";"2";"584.2417";"-1.10";"ZWITTERION";"C28H36N6O6S";"O=C(CCCCNC1=NCCN1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1";"NBFYQDLZBZGXPB-ZEQRLZLVSA-N"
"CHEMBL2030808";"";"";"Small molecule";"";"489.36";"7";"10";"3.87";"113.44";"6";"3";"0";"10";"N";"0.40";"3.17";"6.88";"1.30";"0.73";"3";"MOL";"-1";"33";"8";"3";"0";"488.1018";"-0.76";"ACID";"C23H22Cl2N4O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cncc3Cl)C(=O)O)cc2)n1";"WORXKOOYMZPIGP-IBGZPJMESA-N"
"CHEMBL2030800";"";"";"Small molecule";"";"471.92";"7";"11";"3.96";"100.55";"5";"3";"0";"10";"N";"0.41";"3.39";"6.88";"2.07";"1.49";"3";"MOL";"-1";"33";"7";"3";"0";"471.1361";"-1.11";"ACID";"C24H23ClFN3O4";"CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(F)cccc3Cl)C(=O)O)cc2)n1";"NNGZKLHXGWZBQW-FQEVSTJZSA-N"
"CHEMBL2031172";"";"";"Small molecule";"";"528.44";"1";"2";"5.26";"100.55";"5";"3";"2";"12";"N";"0.30";"3.39";"6.84";"3.31";"2.71";"3";"MOL";"-1";"36";"7";"3";"2";"527.1379";"-0.81";"ACID";"C27H27Cl2N3O4";"O=C(N[C@@H](Cc1ccc(OCCc2cccc(NCC3CC3)n2)cc1)C(=O)O)c1c(Cl)cccc1Cl";"JIYOXFLRVUFAQT-QHCPKHFHSA-N"
"CHEMBL402364";"";"";"Small molecule";"";"381.39";"4";"8";"3.99";"82.27";"3";"2";"0";"2";"N";"0.41";"6.56";"None";"3.75";"2.89";"4";"MOL";"-1";"29";"6";"2";"0";"381.1113";"-0.87";"NEUTRAL";"C23H15N3O3";"O=C1NC(=O)N(c2cccc3ccccc23)C(=O)/C1=C\c1c[nH]c2ccccc12";"WXLHNZZHYWXAIN-PDGQHHTCSA-N"
