"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3955325";"";"";"Small molecule";"";"493.54";"4";"5";"0.45";"151.14";"8";"2";"0";"8";"N";"0.54";"2.93";"0.49";"0.39";"-3.09";"2";"MOL";"-1";"34";"12";"2";"1";"493.1631";"-1.43";"ACID";"C21H27N5O7S";"CN(C)C(=O)Oc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cnn(C)c2)C(=O)O)cc1";"QYYRJAZVBRBKSA-ROUUACIJSA-N"
"CHEMBL3941275";"";"";"Small molecule";"";"544.63";"4";"5";"1.36";"145.35";"7";"3";"1";"8";"N";"0.45";"2.77";"7.81";"-0.53";"-0.66";"2";"MOL";"-1";"38";"11";"3";"2";"544.1992";"-1.08";"ACID";"C26H32N4O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N3CCNCC3)cc2)C(=O)O)cc1";"VQJTYCXNNCTTSF-GOTSBHOMSA-N"
"CHEMBL3893793";"";"";"Small molecule";"";"477.54";"4";"5";"1.49";"133.32";"6";"2";"0";"9";"N";"0.56";"3.02";"None";"1.86";"-1.61";"2";"MOL";"-1";"33";"10";"2";"0";"477.1570";"-1.12";"ACID";"C22H27N3O7S";"Cc1ccc(S(=O)(=O)N(C)CC(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"NWGFNDPGYNMWPX-IBGZPJMESA-N"
"CHEMBL3917688";"";"";"Small molecule";"";"558.66";"4";"5";"1.71";"136.56";"7";"2";"1";"8";"N";"0.50";"2.77";"6.85";"-0.40";"-0.86";"2";"MOL";"-1";"39";"11";"2";"2";"558.2148";"-1.15";"ACID";"C27H34N4O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N3CCN(C)CC3)cc2)C(=O)O)cc1";"LTENJGUZJGMMFE-ZEQRLZLVSA-N"
"CHEMBL3952722";"";"";"Small molecule";"";"503.58";"4";"5";"2.02";"133.32";"6";"2";"1";"8";"N";"0.56";"3.07";"None";"2.48";"-0.99";"2";"MOL";"-1";"35";"10";"2";"1";"503.1726";"-1.11";"ACID";"C24H29N3O7S";"Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"XXMHZBBVAXTTOO-SFTDATJTSA-N"
"CHEMBL447509";"";"";"Small molecule";"";"810.95";"9";"34";"4.11";"250.81";"8";"8";"2";"21";"N";"0.06";"3.97";"4.90";"2.37";"0.18";"3";"MOL";"-1";"59";"16";"9";"3";"810.4065";"-0.70";"ACID";"C43H54N8O8";"Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N[C@@H](CCCCNC(=O)/C=C/c2cccnc2)C(=O)N[C@@H](CCCC(=O)O)C(=O)NC2(C(N)=O)CCCCC2)cc1";"OOYFOUHICCOHRQ-CVLSMVSNSA-N"
"CHEMBL3893490";"";"";"Small molecule";"";"581.67";"4";"5";"1.39";"167.46";"8";"2";"1";"8";"N";"0.47";"2.92";"None";"1.69";"-1.79";"2";"MOL";"-1";"39";"12";"2";"2";"581.1502";"-0.76";"ACID";"C25H31N3O9S2";"Cc1ccc(S(=O)(=O)N2CS(=O)(=O)C(C)(C)[C@@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"FHGHBEJKBMOYTD-SFTDATJTSA-N"
"CHEMBL3903235";"";"";"Small molecule";"";"491.57";"4";"5";"1.88";"133.32";"6";"2";"0";"9";"N";"0.55";"3.08";"None";"2.43";"-1.04";"2";"MOL";"-1";"34";"10";"2";"0";"491.1726";"-0.78";"ACID";"C23H29N3O7S";"Cc1ccc(S(=O)(=O)N(C)[C@@H](C)C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"ZMBVXWJIISRQDP-JXFKEZNVSA-N"
"CHEMBL3938571";"";"";"Small molecule";"";"567.64";"4";"5";"0.66";"167.46";"8";"2";"1";"8";"N";"0.47";"2.87";"None";"0.73";"-2.76";"2";"MOL";"-1";"38";"12";"2";"2";"567.1345";"-1.20";"ACID";"C24H29N3O9S2";"Cc1ccc(S(=O)(=O)N2CCS(=O)(=O)C[C@@H]2C(=O)N[C@@H](Cc2ccc(OC(=O)N(C)C)cc2)C(=O)O)cc1";"KGKLYWUBSSOGFT-LEWJYISDSA-N"
"CHEMBL3925460";"";"";"Small molecule";"";"595.74";"4";"5";"1.66";"150.39";"8";"2";"1";"12";"N";"0.35";"2.74";"9.26";"-0.84";"-0.85";"2";"MOL";"-1";"40";"11";"2";"2";"595.2022";"-0.82";"ZWITTERION";"C27H37N3O8S2";"Cc1ccc(S(=O)(=O)N2CS(=O)(=O)C(C)(C)[C@@H]2C(=O)N[C@@H](Cc2ccc(OCCCN(C)C)cc2)C(=O)O)cc1";"BNTIBVVOAXCAIG-ZEQRLZLVSA-N"
