Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I00063,BCL2/BAX
BCL2-Like_BAX,I00063,BCL2/BAX
BCL2-Like_BAX,I00067,BCL2/BAX
BCL2-Like_BAX,I00067,BCL2/BAX
BCL2-Like_BAX,I0006B,MCL1/BAX
BCL2-Like_BAX,I0006B,B2CL1/BAX
BCL2-Like_BAX,I0006B,BCL2/BAX
BCL2-Like_BAX,I0006B,MCL1/BAX
BCL2-Like_BAX,I0006B,B2CL1/BAX
BCL2-Like_BAX,I0006B,BCL2/BAX
BCL2-Like_BAX,I0006C,
BCL2-Like_BAX,I0006D,
BCL2-Like_BAX,I0006V,BCL2/BAX
BCL2-Like_BAX,I0006V,BCL2/BAX
BCL2-Like_BAX,I0007A,B2CL1/BAX
BCL2-Like_BAX,I0007A,BCL2/BAX
BCL2-Like_BAX,I0007A,B2CL1/BAX
BCL2-Like_BAX,I0007A,BCL2/BAX
BCL2-Like_BAX,I0007B,
BCL2-Like_BAX,I0007E,BCL2/BAX
BCL2-Like_BAX,I0007E,MCL1/BAX
BCL2-Like_BAX,I0007E,MCL1/BAX
BCL2-Like_BAX,I0007E,BCL2/BAX
BCL2-Like_BAX,I0007F,
BCL2-Like_BAX,I0007J,
BCL2-Like_BAX,I0007K,BCL2/BAX
BCL2-Like_BAX,I0007K,MCL1/BAX
BCL2-Like_BAX,I0007K,MCL1/BAX
BCL2-Like_BAX,I0007K,BCL2/BAX
BCL2-Like_BAX,I0007M,BCL2/BAX
BCL2-Like_BAX,I0007M,BCL2/BAX
BCL2-Like_BAX,I0007P,MCL1/BAX
BCL2-Like_BAX,I0007P,BCL2/BAX
BCL2-Like_BAX,I0007P,BCL2/BAX
BCL2-Like_BAX,I0007P,MCL1/BAX
BCL2-Like_BAX,I0007Q,
BCL2-Like_BAX,I0007W,
BCL2-Like_BAX,I0007X,BCL2/BAX
BCL2-Like_BAX,I0007X,B2CL1/BAX
BCL2-Like_BAX,I0007X,BCL2/BAX
BCL2-Like_BAX,I0007X,B2CL1/BAX
BCL2-Like_BAX,I00082,BCL2/BAX
BCL2-Like_BAX,I00082,BCL2/BAX
BCL2-Like_BAX,I00084,
BCL2-Like_BAX,I00085,B2CL1/BAX
BCL2-Like_BAX,I00085,B2CL1/BAX
BCL2-Like_BAX,I00085,BCL2/BAX
BCL2-Like_BAX,I00085,BCL2/BAX
BCL2-Like_BAX,I0008A,BCL2/BAX
BCL2-Like_BAX,I0008A,BCL2/BAX
BCL2-Like_BAX,I0008F,B2CL1/BAX
BCL2-Like_BAX,I0008F,BCL2/BAX
BCL2-Like_BAX,I0008F,BCL2/BAX
BCL2-Like_BAX,I0008F,B2CL1/BAX
BCL2-Like_BAX,I0008G,
BCL2-Like_BAX,I0008I,BCL2/BAX
BCL2-Like_BAX,I0008I,BCL2/BAX
BCL2-Like_BAX,I0008K,BCL2/BAX
BCL2-Like_BAX,I0008K,BCL2/BAX
BCL2-Like_BAX,I0008M,BCL2/BAX
BCL2-Like_BAX,I0008M,BCL2/BAX
BCL2-Like_BAX,I0008X,BCL2/BAX
BCL2-Like_BAX,I0008X,BCL2/BAX
BCL2-Like_BAX,I0009B,BCL2/BAX
BCL2-Like_BAX,I0009B,BCL2/BAX
BCL2-Like_BAX,I0009V,B2CL1/BAX
BCL2-Like_BAX,I0009V,BCL2/BAX
BCL2-Like_BAX,I0009V,BCL2/BAX
BCL2-Like_BAX,I0009V,B2CL1/BAX
BCL2-Like_BAX,I0009W,
BCL2-Like_BAX,I000A5,BCL2/BAX
BCL2-Like_BAX,I000A5,B2CL1/BAX
BCL2-Like_BAX,I000A5,B2CL1/BAX
BCL2-Like_BAX,I000A5,BCL2/BAX
BCL2-Like_BAX,I000A6,
BCL2-Like_BAX,I000A7,
BCL2-Like_BAX,I000A8,BCL2/BAX
BCL2-Like_BAX,I000A8,BCL2/BAX
BCL2-Like_BAX,I000A8,MCL1/BAX
BCL2-Like_BAX,I000A8,MCL1/BAX
BCL2-Like_BAX,I000AE,BCL2/BAX
BCL2-Like_BAX,I000AE,BCL2/BAX
BCL2-Like_BAX,I000AM,MCL1/BAX
BCL2-Like_BAX,I000AM,BCL2/BAX
BCL2-Like_BAX,I000AM,BCL2/BAX
BCL2-Like_BAX,I000AM,MCL1/BAX
BCL2-Like_BAX,I000AN,
BCL2-Like_BAX,I000AQ,BCL2/BAX
BCL2-Like_BAX,I000AQ,BCL2/BAX
BCL2-Like_BAX,I000AX,B2CL1/BAX
BCL2-Like_BAX,I000AX,BCL2/BAX
BCL2-Like_BAX,I000AX,B2CL1/BAX
BCL2-Like_BAX,I000AX,BCL2/BAX
BCL2-Like_BAX,I000AY,
BCL2-Like_BAX,I000B4,BCL2/BAX
BCL2-Like_BAX,I000B4,BCL2/BAX
BCL2-Like_BAX,I000B5,BCL2/BAX
BCL2-Like_BAX,I000B5,BCL2/BAX
BCL2-Like_BAX,I000B8,BCL2/BAX
BCL2-Like_BAX,I000B8,BCL2/BAX
BCL2-Like_BAX,I000B9,B2CL1/BAX
BCL2-Like_BAX,I000B9,BCL2/BAX
BCL2-Like_BAX,I000B9,B2CL1/BAX
BCL2-Like_BAX,I000B9,BCL2/BAX
BCL2-Like_BAX,I000BA,
BCL2-Like_BAX,I000BC,BCL2/BAX
BCL2-Like_BAX,I000BC,BCL2/BAX
