Smiles
CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc(C(=O)O)cc4)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O
CC(C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3c(-c4ccc5ccc6cccc7ccc4c5c67)cccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC1=O
O=C(O)C[C@H](C(=O)N1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1ccccc1
O=C(CCCCNC1=NCCN1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1
O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Br)c1O
Cc1cnn(C)c1-c1cccc([C@H](CC(=O)O)CN2CC[C@@H](CCc3ccc4c(n3)NCCC4)C2)c1
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(OC2CCOCC2)c1
Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1
CC(C)C[C@@H]1NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](c2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C1=O
O=C(CCCNc1ccccn1)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(O[C@H]2CCOC2)c1
N=C(N)Nc1cccc(C(=O)Nc2ccc(C[C@H](NC(=O)[C@@H]3CCCN3S(=O)(=O)c3ccccc3)C(=O)O)cc2)c1
O=C(O)C[C@H](CN1CC[C@@](F)(CCc2ccc3c(n2)NCCC3)C1)c1cccc(N2CCOCC2)c1
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(O[C@@H]2CCOC2)c1
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cc(C2CC2)cc(N2CCOCC2)c1
O=C(O)CC(CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(-n2ccnc2)c1
O=C(O)CC(NC(=O)CCCCc1ccc2c(n1)NCCC2)c1ccc(Cl)c(Cl)c1
Cc1nc(C)c(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)[nH]1
Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1.Cl
O=C(O)CC(NC(=O)CCCCc1ccc2c(n1)NCCC2)c1ccc(F)cc1
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC1=O
C[Si]1(C)C[C@@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc3ccccc3)C(=O)N2C1.O=C(O)C(F)(F)F
O=C(O)C[C@H](CN1CC[C@@H](CCc2ccc3c(n2)NCCC3)C1)c1cccc(-n2cnnc2)c1
N=C(N)Nc1cc(NC(=O)CNC(=O)C23CC4CC(CC(C4)C2)C3)cc(C(=O)NCC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)c1
N=C(N)Nc1cc(NC(=O)CCCC(=O)NC23CC4CC(CC(C4)C2)C3)cc(C(=O)NCC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)c1
N=C(N)Nc1cc(NC(=O)CCCCNC(=O)C23CC4CC(CC(C4)C2)C3)cc(C(=O)NCC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)c1
N=C(N)NCCCCC(=O)Nc1ccc(C[C@H](NC(=O)[C@@H]2CCCCN2S(=O)(=O)c2ccccc2)C(=O)O)cc1
